County,Precinct Name,Location Name,Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
Buena Vista,STORM LAKE 02,CHAUTAUQUA SHELTER HOUSE E,410 E. LAKESHORE DR,STORM LAKE,IA,50588,42.63595,-95.1968,1,946704
Buena Vista,STORM LAKE 03,LAKE AVE LOUNGE,617 LAKE AVE,STORM LAKE,IA,50588,42.6446,-95.2007,1,946705
Buena Vista,STORM LAKE 04,"SIEBEN'S FORUM, DINING HALL",610 W 4TH ST,STORM LAKE,IA,50588,42.64239,-95.2097,1,946706
Buena Vista,TRUESDALE WASHINGTON GRANT,"BUENA VISTA COUNTY COURTHOUSE, MEETING ROOM",215 E. 5TH ST,STORM LAKE,IA,50588,42.6445,-95.1992,1,948227
Butler,1-GR,GREENE COMMUNITY CENTER,202 W. SOUTH ST.,GREENE,IA,50636,42.89092,-92.807,0.7,1593434
Butler,2-CL,"CLARKSVILLE COMMUNITY SCHOOL, MULTIPURPOSE ROOM",318 N MATHER ST,CLARKSVILLE,IA,50619,42.78211,-92.6667,0.7,1593435
Butler,3-DU,DUMONT LEGION HALL,508 MAIN ST.,DUMONT,IA,50625,42.74921,-92.9732,0.9,1593436
Butler,4-AL,"ALLISON PUBLIC LIBRARY, COMMUNITY ROOM",412 3RD ST.,ALLISON,IA,50602,42.75297,-92.7931,1,1593437
Butler,5-AP,APLINGTON COMMUNITY CENTER,929 PARIOTT ST.,APLINGTON,IA,50604,42.58384,-92.8834,1,1593438
Butler,6-SR,"SHELL ROCK ELEMENTARY SCHOOL, LUNCH ROOM",214 N. CHERRY ST,SHELL ROCK,IA,50670,42.71245,-92.5808,0.9,1593439
Butler,7-PB,AMERICAN LEGION,110 COLFAX ST.,PARKERSBURG,IA,50665,42.57455,-92.7904,0.6,1593440
Butler,8-NH,"NEW HARTFORD COMMUNITY SCHOOL, MULTIPURPOSE ROOM",508 BEAVER ST,NEW HARTFORD,IA,50660,42.56937,-92.6196,0.9,1593441
Calhoun,Butler- Williams,POMERORY COMMUNITY ROOM,109 S ONTARIO ST.,POMEROY,IA,50575,42.55012,-94.6839,1,948228
Calhoun,Calhoun- Jackson- EG- LK,"SOUTH CENTRAL CALHOUN HIGH SCHOOL, AUDITORIUM",709 W MAIN ST,LAKE CITY,IA,51449,42.26727,-94.7424,1,948230
Calhoun,Cedar,LOHRVILLE CITY HALL A,605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948229
Calhoun,Center- Logan- TL- GA- L,CALHOUN COUNTY COURTHOUSE A,416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948231
Calhoun,Greenfield & Lincoln 2,MANSON NW WEBSTER HIGH SCHOOL A,1601 15TH AVE,MANSON,IA,50563,42.53493,-94.53,0.6,948232
Calhoun,Lincoln 1,MANSON NW WEBSTER HIGH SCHOOL B,1601 15TH AVE,MANSON,IA,50563,42.53493,-94.53,0.6,948234
Calhoun,Reading,LOHRVILLE CITY HALL B,605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948235
Calhoun,Rockwell City,CALHOUN COUNTY COURTHOUSE B,416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948236
Calhoun,Sherman,CALHOUN COUNTY COURTHOUSE C,416 4TH ST,ROCKWELL CITY,IA,50579,42.39521,-94.6347,1,948237
Calhoun,Union,LOHRVILLE CITY HALL C,605 2ND ST.,LOHRVILLE,IA,51453,42.27007,-94.5483,1,948238
Carroll,Arcadia,ARCADIA LEGION HALL,210 W. HEAD ST.,ARCADIA,IA,51430,42.08799,-95.0451,1,946725
Carroll,Carroll Ward Four,SWAN LAKE STATE PARK CONSERVATION EDUCATION CENTER,22676 SWAN LAKE TRAIL,CARROLL,IA,51401,42.03405,-94.8488,0.6,946720
Carroll,Carroll Ward One,CARROLL HIGH SCHOOL AUDITORIUM,2809 N GRANT RD,CARROLL,IA,51401,42.09175,-94.8593,1,946721
Carroll,Carroll Ward Three &amp; S1/2 Maple River Twp,ADAMS ELEMENTARY SCHOOL GYMNASIUM,1026 N ADAMS ST,CARROLL,IA,51401,42.07127,-94.8661,1,946722
Carroll,Carroll Ward Two &amp; N1/2 Maple River Twp,FIRST UNITED METHODIST CHURCH FELLOWSHIP HALL,1621 NORTH MAIN ST,CARROLL,IA,51401,42.07651,-94.8642,1,946719
Carroll,Eden,"TEMPLETON CENTER, COMMUNITY ROOM",230 S 5TH AVE,TEMPLETON,IA,51463,41.9207,-94.9459,0.4,946730
