Candidate,Address,City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
Buttigieg,"509 W Taylor St",Creston,IA,,41.049028,-94.366545,1,range_interpolation,509,"W Taylor St",Creston,IA,"Union County",50801,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"216 W. Montgomery St",Creston,IA,,41.0584,-94.362856,1,range_interpolation,216,"W Montgomery St",Creston,IA,"Union County",50801,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"736 Federal St",Davenport,IA,,41.52489,-90.563251,1,range_interpolation,736,"Federal St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Klobuchar,"583 E 53rd St.",Davenport,IA,,41.574409,-90.567723,1,range_interpolation,583,"E 53rd St",Davenport,IA,"Scott County",52807,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"4436 N Brady St",Davenport,IA,,41.566849,-90.56794,1,range_interpolation,4436,"N Brady St",Davenport,IA,"Scott County",52806,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"1706 Brady St",Davenport,IA,,41.537314,-90.574175,1,range_interpolation,1706,"Brady St",Davenport,IA,"Scott County",52803,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"208 W Water St",Decorah,IA,,43.304244,-91.787575,1,rooftop,208,"W Water St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
Buttigieg,"128 W Water St",Decorah,IA,,43.304318,-91.786837,1,range_interpolation,128,"W Water St",Decorah,IA,"Winneshiek County",52101,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"118 Winnebago St",Decorah,IA,,43.303429,-91.787081,1,rooftop,118,"Winnebago St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
Warren,"110 Washington St",Decorah,IA,,43.303616,-91.785859,1,rooftop,110,"Washington St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
Yang,"218 W Water St",Decorah,IA,,43.304246,-91.78798,1,rooftop,218,"W Water St",Decorah,IA,"Winneshiek County",52101,US,Winneshiek
Biden,"2411 Grand Ave","Des Moines",IA,,41.584669,-93.650479,1,rooftop,2411,"Grand Ave","Des Moines",IA,"Polk County",50312,US,Polk
Biden,"4319 Fleur Dr","Des Moines",IA,,41.545424,-93.644792,1,range_interpolation,4319,"Fleur Dr","Des Moines",IA,"Polk County",50321,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"2355 E University Ave","Des Moines",IA,,41.600153,-93.573118,1,rooftop,2355,"E University Ave","Des Moines",IA,"Polk County",50317,US,Polk
Biden,"5967 Ashworth Rd","West Des Moines",IA,50266,41.585064,-93.790064,1,rooftop,5967,"Ashworth Rd","West Des Moines",IA,"Polk County",50266,US,Polk
Buttigieg,"3839 Merle Hay Rd","Des Moines",IA,,41.630842,-93.697223,1,rooftop,3839,"Merle Hay Rd","Des Moines",IA,"Polk County",50310,US,Polk
Buttigieg,"4650 Fleur Dr","Des Moines",IA,,41.543255,-93.645246,1,range_interpolation,4650,"Fleur Dr","Des Moines",IA,"Polk County",50321,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"5958 Ashworth Rd","West Des Moines",IA,,41.583767,-93.789614,1,rooftop,5958,"Ashworth Rd","West Des Moines",IA,"Polk County",50266,US,Polk
Buttigieg,"1100 N Hickory Blvd","Pleasant Hill",IA,,41.600035,-93.517776,1,rooftop,1100,"N Hickory Blvd","Pleasant Hill",IA,"Polk County",50327,US,Polk
Buttigieg,"102 SE 30th St",Ankeny,IA,,41.699482,-93.599883,1,rooftop,102,"SE 30th St",Ankeny,IA,"Polk County",50021,US,Polk
Klobuchar,"1221 Center St","Des Moines",IA,,41.592003,-93.633422,1,rooftop,1221,"Center St","Des Moines",IA,"Polk County",50309,US,Polk
Sanders,"401 SW 8th St","Des Moines",IA,,41.579341,-93.624483,1,rooftop,401,"SW 8th St","Des Moines",IA,"Polk County",50309,US,Polk
Sanders,"313 5th St","West Des Moines",IA,,41.573045,-93.708492,1,rooftop,313,"5th St","West Des Moines",IA,"Polk County",50265,US,Polk
Sanders,"107 NE Delaware Ave",Ankeny,IA,,41.732395,-93.580532,1,rooftop,107,"NE Delaware Ave",Ankeny,IA,"Polk County",50021,US,Polk
Steyer,"3810 Ingersoll Ave","Des Moines",IA,,41.586071,-93.668758,1,rooftop,3810,"Ingersoll Ave","Des Moines",IA,"Polk County",50312,US,Polk
Steyer,"2815 Beaver Ave","Des Moines",IA,,41.620925,-93.67302,1,rooftop,2815,"Beaver Ave","Des Moines",IA,"Polk County",50310,US,Polk
Warren,"939 Office Park Rd","West Des Moines",IA,,41.591011,-93.715266,1,rooftop,939,"Office Park Rd","West Des Moines",IA,"Polk County",50265,US,Polk
Warren,"3615 Beaver Ave","Des Moines",IA,,41.628058,-93.676883,1,rooftop,3615,"Beaver Ave","Des Moines",IA,"Polk County",50310,US,Polk
Warren,"3702 Ingersoll Ave","Des Moines",IA,,41.586117,-93.666929,1,rooftop,3702,"Ingersoll Ave","Des Moines",IA,"Polk County",50312,US,Polk
Warren,"1517 Ankeny Blvd",Ankeny,IA,,41.717077,-93.600333,1,range_interpolation,1517,"Us Hwy 69",Ankeny,IA,"Polk County",50023,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"950 Office Park Rd","West Des Moines",IA,,41.589537,-93.716271,1,rooftop,950,"Office Park Rd","West Des Moines",IA,"Polk County",50265,US,Polk
Biden,"799 Main St",Dubuque,IA,,42.500571,-90.667213,1,rooftop,799,"Main St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
Buttigieg,"1125 Main St",Dubuque,IA,,42.503479,-90.668741,1,rooftop,1125,"Main St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
Klobuchar,"962 Main St",Dubuque,IA,,42.502249,-90.667775,1,rooftop,962,"Main St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
Sanders,"678 Central Ave",Dubuque,IA,,42.500444,-90.664389,1,rooftop,678,"Central Ave",Dubuque,IA,"Dubuque County",52001,US,Dubuque
Steyer,"3392 Hillcrest Rd",Dubuque,IA,,42.506705,-90.723973,1,rooftop,3392,"Hillcrest Rd",Dubuque,IA,"Dubuque County",52002,US,Dubuque
Warren,"3250 Kennedy Circle",Dubuque,IA,,42.504839,-90.722698,1,rooftop,3250,"Kennedy Cir",Dubuque,IA,"Dubuque County",52002,US,Dubuque
Yang,"633 Main St",Dubuque,IA,,42.499494,-90.666784,1,rooftop,633,"Main St",Dubuque,IA,"Dubuque County",52001,US,Dubuque
Biden,"115 E Burlington Ave",Fairfield,IA,,41.006766,-91.961993,1,range_interpolation,115,"E Burlington Ave",Fairfield,IA,"Jefferson County",52556,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"51 N 2nd St",Fairfield,IA,,41.007129,-91.964925,1,range_interpolation,51,"N 2nd St",Fairfield,IA,"Jefferson County",52556,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"304 2nd Ave S","Fort Dodge",IA,50501,42.502311,-94.193291,1,rooftop,304,"2nd Ave S","Fort Dodge",IA,"Webster County",50501,US,Webster
Buttigieg,"#12 N 11th St","Fort Dodge",IA,50501,42.505719,-94.183609,1,range_interpolation,12,"N 11th St","Fort Dodge",IA,"Webster County",50501,US,"TIGER/Line® dataset from the US Census Bureau"
Klobuchar,"7006 Central Ave","Fort Dodge",IA,,42.505615,-94.182758,0.6,street_center,,"Central Ave","Fort Dodge",IA,"Webster County",50501,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"805 Central Ave","Fort Dodge",IA,,42.505045,-94.187211,1,rooftop,805,"Central Ave","Fort Dodge",IA,"Webster County",50501,US,Webster
Steyer,"801 Central Ave","Fort Dodge",IA,,42.504911,-94.187469,1,range_interpolation,801,"Central Ave","Fort Dodge",IA,"Webster County",50501,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"1026 Central Ave","Fort Dodge",IA,,42.505662,-94.184465,1,range_interpolation,1026,"Central Ave","Fort Dodge",IA,"Webster County",50501,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"811 Ave G","Fort Madison",IA,,40.596949,-91.434473,1,place,,,"Fort Madison",IA,"Lee County",52627,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"821 Ave G","Fort Madison",IA,,40.596949,-91.434473,1,place,,,"Fort Madison",IA,"Lee County",52627,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"817 4th Ave",Grinnell,IA,,41.743376,-92.724317,1,range_interpolation,817,"4th Ave",Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"925 Broad St",Grinnell,IA,,41.743585,-92.724268,1,range_interpolation,925,"Broad St",Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"806 Commercial St",Grinnell,IA,,41.742201,-92.725673,1,range_interpolation,806,"Commercial St",Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"820 4th Ave",Grinnell,IA,,41.743076,-92.724369,1,range_interpolation,820,"4th Ave",Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"1705 N Jefferson Way",Indianola,IA,,41.342582,-93.55834,0.9,range_interpolation,1705,"Us Hwy 65",Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"104 S Howard",Indianola,IA,,41.360262,-93.560813,1,range_interpolation,104,"S Howard St",Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"107 E Salem Ave",Indianola,IA,,41.36015,-93.560903,1,range_interpolation,107,"E Salem Ave",Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"702 S Gilbert St","Iowa City",IA,,41.652537,-91.530427,1,rooftop,702,"S Gilbert St","Iowa City",IA,"Johnson County",52240,US,Johnson
Buttigieg,"23 South Gilbert St","Iowa City",IA,,41.660429,-91.530363,1,rooftop,23,"S Gilbert St","Iowa City",IA,"Johnson County",52240,US,Johnson
Klobuchar,"412 Highland Ave","Iowa City",IA,,41.646078,-91.529283,1,rooftop,412,"Highland Ave","Iowa City",IA,"Johnson County",52240,US,Johnson
Sanders,"1745 Boyrum St","Iowa City",IA,,41.643749,-91.528757,1,rooftop,1745,"Boyrum St","Iowa City",IA,"Johnson County",52240,US,Johnson
Steyer,"412 Highland Ave","Iowa City",IA,,41.646078,-91.529283,1,rooftop,412,"Highland Ave","Iowa City",IA,"Johnson County",52240,US,Johnson
Warren,"332 E 2nd St","Iowa City",IA,,41.647785,-91.530865,1,rooftop,332,"E 2nd St","Iowa City",IA,"Johnson County",52240,US,Johnson
Yang,"412 Highland Ave","Iowa City",IA,,41.646078,-91.529283,1,rooftop,412,"Highland Ave","Iowa City",IA,"Johnson County",52240,US,Johnson
Biden,"401 Main St",Lorimor,IA,,41.127166,-94.053855,1,range_interpolation,401,"Main St",Lorimor,IA,"Union County",50149,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"3533 Main St",Keokuk,IA,52632,40.422618,-91.410483,0.9,range_interpolation,3533,"Main St",Keokuk,IA,"Lee County",52632,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"710 10th St",Marion,IA,,42.033456,-91.599598,1,rooftop,710,"10th St",Marion,IA,"Linn County",52302,US,Linn
Warren,"292 7th Ave",Marion,IA,,42.033283,-91.60797,1,rooftop,292,"7th Ave",Marion,IA,"Linn County",52302,US,Linn
Buttigieg,"30 W Main St",Marshalltown,IA,,42.049229,-92.91171,0.8,rooftop,30,"E Main St",Marshalltown,IA,"Marshall County",50158,US,Marshall
Sanders,"13 W Main St",Marshalltown,IA,,42.049231,-92.913562,1,rooftop,13,"W Main St",Marshalltown,IA,"Marshall County",50158,US,Marshall
Biden,"105 S Delaware Ave","Mason City",IA,,43.150038,-93.199273,1,range_interpolation,105,"S Delaware Ave","Mason City",IA,"Cerro Gordo County",50401,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"14 S Federal Ave","Mason City",IA,,43.151296,-93.201779,1,rooftop,14,"S Federal Ave","Mason City",IA,"Cerro Gordo County",50401,US,"Cerro Gordo"
Klobuchar,"636 S Monroe Ave","Mason City",IA,,43.145909,-93.209227,1,range_interpolation,636,"S Monroe Ave","Mason City",IA,"Cerro Gordo County",50401,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"630 S Monroe Ave","Mason City",IA,,43.14587,-93.209228,1,range_interpolation,630,"S Monroe Ave","Mason City",IA,"Cerro Gordo County",50401,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"219 N Federal Ave","Mason City",IA,,43.154281,-93.200552,1,rooftop,219,"N Federal Ave","Mason City",IA,"Cerro Gordo County",50401,US,"Cerro Gordo"
Yang,"12 S Federal Ave","Mason City",IA,,43.151346,-93.201602,1,rooftop,12,"S Federal Ave","Mason City",IA,"Cerro Gordo County",50401,US,"Cerro Gordo"
Biden,"130 E 2nd St",Muscatine,IA,,41.421369,-91.045365,1,range_interpolation,130,"E 2nd St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"522 Mulberry Ave",Muscatine,IA,,41.426398,-91.044309,1,range_interpolation,522,"Mulberry Ave",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"106 E 2nd St",Muscatine,IA,,41.421222,-91.045567,1,range_interpolation,106,"E 2nd St",Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"110 1st St N",Newton,IA,,41.699954,-93.053499,1,rooftop,110,"1st St N",Newton,IA,"Jasper County",50208,US,Jasper
Buttigieg,"207 1st Ave W",Newton,IA,,41.699485,-93.051831,0.9,rooftop,207,"1st Ave E",Newton,IA,"Jasper County",50208,US,Jasper
Klobuchar,"403 W 4th St N",Newton,IA,,41.702387,-93.057548,1,rooftop,403,"W 4th St N",Newton,IA,"Jasper County",50208,US,Jasper
Sanders,"118 N 2nd Ave W",Newton,IA,,41.700581,-93.052717,1,rooftop,118,"N 2nd Ave E",Newton,IA,"Jasper County",50208,US,Jasper
Warren,"403 W 4th St N",Newton,IA,,41.702387,-93.057548,1,rooftop,403,"W 4th St N",Newton,IA,"Jasper County",50208,US,Jasper
Yang,"110 1st St, SW","Orange City",IA,,43.00593,-96.058346,1,range_interpolation,110,"1st St SW","Orange City",IA,"Sioux County",51041,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"200 High Ave W",Oskaloosa,IA,,41.295482,-92.646285,1,range_interpolation,200,"High Ave W",Oskaloosa,IA,"Mahaska County",52577,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"2815 N Court St",Ottumwa,IA,,41.060136,-92.409635,1,range_interpolation,2815,"N Court St",Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"224 W 4th St",Ottumwa,IA,,41.020552,-92.412171,0.8,range_interpolation,224,"4th St W",Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
Klobuchar,"408 E Main St",Ottumwa,IA,,41.014431,-92.408173,1,range_interpolation,408,"E Main St",Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"236 E Main St",Ottumwa,IA,,41.016452,-92.410923,1,range_interpolation,236,"E Main St",Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"415 Church St",Ottumwa,IA,,41.010098,-92.418039,1,range_interpolation,415,"Church St",Ottumwa,IA,"Wapello County",52501,US,"TIGER/Line® dataset from the US Census Bureau"
Biden,"1754 Hamilton Blvd","Sioux City",IA,,42.508999,-96.416572,1,range_interpolation,1754,"Hamilton Blvd","Sioux City",IA,"Woodbury County",51103,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"700 Pierce St","Sioux City",IA,,42.497273,-96.404953,1,range_interpolation,700,"Pierce St","Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
Klobuchar,"511 5th St","Sioux City",IA,,42.495392,-96.404835,1,range_interpolation,511,"5th St","Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
Sanders,"409 Nebraska St","Sioux City",IA,,42.494223,-96.403606,1,range_interpolation,409,"Nebraska St","Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
Steyer,"1308 Pierce St","Sioux City",IA,,42.504072,-96.404891,1,range_interpolation,1308,"Pierce St","Sioux City",IA,"Woodbury County",51105,US,"TIGER/Line® dataset from the US Census Bureau"
Warren,"520 14th St","Sioux City",IA,,42.504855,-96.404831,1,range_interpolation,520,"14th St","Sioux City",IA,"Woodbury County",51105,US,"TIGER/Line® dataset from the US Census Bureau"
Yang,"521 Nebraska St","Sioux City",IA,,42.495477,-96.403619,1,range_interpolation,521,"Nebraska St","Sioux City",IA,"Woodbury County",51101,US,"TIGER/Line® dataset from the US Census Bureau"
Buttigieg,"1019 S Grand Ave",Spencer,IA,,43.127263,-95.143835,1,rooftop,1019,"S Grand Ave",Spencer,IA,"Clay County",51301,US,Clay
Klobuchar,"223 E Court St",Winterset,IA,,41.334722,-94.011022,1,rooftop,223,"E Court Ave",Winterset,IA,"Madison County",50273,US,Madison
Sanders,"14 W 221st St",Spencer,IA,,43.13291,-95.177909,0.33,place,,,Spencer,IA,"Clay County",51301,US,"TIGER/Line® dataset from the US Census Bureau"
