City,Precinct,Total People
Davenport,D82,1
Davenport,D84,1
Dayton,Da/Bu,1
De Soto,Do,5
Decorah,2,1
Decorah,4,2
Decorah,5,1
Decorah,6,3
Delta,Wn,1
Denison,D1,1
Denison,D3-Gr,1
Denver,Dv,3
Des Moines,Dm 001,1
Des Moines,Dm 002,1
Des Moines,Dm 003,4
Des Moines,Dm 004,3
Des Moines,Dm 005,2
Des Moines,Dm 006,3
Des Moines,Dm 007,2
Des Moines,Dm 009,2
Des Moines,Dm 010,2
Des Moines,Dm 011,2
Des Moines,Dm 014,1
Des Moines,Dm 015,3
Des Moines,Dm 016,2
Des Moines,Dm 018,2
Des Moines,Dm 019,1
Des Moines,Dm 020,2
Des Moines,Dm 021,1
Des Moines,Dm 022,2
Des Moines,Dm 026,1
Des Moines,Dm 028,5
Des Moines,Dm 029,3
Des Moines,Dm 031,2
Des Moines,Dm 032,1
Des Moines,Dm 033,1
Des Moines,Dm 034,1
Des Moines,Dm 035,1
Des Moines,Dm 037,6
Des Moines,Dm 038,9
Des Moines,Dm 039,5
Des Moines,Dm 040,4
Des Moines,Dm 041,7
Des Moines,Dm 042,4
Des Moines,Dm 043,4
Des Moines,Dm 044,3
Des Moines,Dm 045,3
Des Moines,Dm 046,2
Des Moines,Dm 047,9
Des Moines,Dm 048,1
Des Moines,Dm 051,1
Des Moines,Dm 052,2
Des Moines,Dm 053,2
Des Moines,Dm 054,6
Des Moines,Dm 055,9
Des Moines,Dm 056,9
Des Moines,Dm 057,6
Des Moines,Dm 058,1
Des Moines,Dm 059,4
Des Moines,Dm 060,7
Des Moines,Dm 061,2
Des Moines,Dm 062,5
Des Moines,Dm 063,3
Des Moines,Dm 064,2
Des Moines,Dm 065,1
Des Moines,Dm 066,1
Des Moines,Dm 069,2
Des Moines,Dm 070,4
Des Moines,Dm 071,4
Des Moines,Dm 073,3
Des Moines,Dm 074,2
Des Moines,Dm 075,1
Des Moines,Dm 077,1
Des Moines,Dm 078,3
Des Moines,Dm 080,1
Des Moines,Dm 082,2
Des Moines,Dm 083,2
Des Moines,Saylor1,3
Des Moines,Saylor2,1
Des Moines,Whts 3,1
Dexter,6,1
Dickens,Lafr,2
Dike,P5,1
Drakesville,Gr,1
Dubuque,1,2
Dubuque,2,2
Dubuque,6,1
Dubuque,7,1
Dubuque,09a,1
Dubuque,10,1
Dubuque,11,4
Dubuque,12,1
Dubuque,13,7
Dubuque,14,1
Dubuque,15,3
Dubuque,16,2
Dubuque,17,1
Dubuque,18,2
Dubuque,19,3
Dubuque,20,2
Dubuque,43,2
Dubuque,45,1
Dunkerton,Aloo,1
Dunlap,Hs,2
Durant,Fm,2
Earlville,Onnfbm,1
Early,3,1
Eddyville,Ce,1
Eldon,Wa,1
Eldridge,El1,3
Elkhart,Elkhart,2
Ely,Tput,1
Emmetsburg,Em1,2
Emmetsburg,Em4,1
Estherville,8,7
Fairbank,Fb,1
Fairfax,Fai,3
Fairfax,Tfai,1
Fairfield,Bu,1
Fairfield,Ct,3
Fairfield,Ff2,11
Fairfield,Ff3,3
Fairfield,Ff4,5
Fairfield,Ff5,4
Fontanelle,03sw,2
Forest City,1,1
Forest City,Fc 1,2
Forest City,Fc 2,7
Forest City,Fc 4,1
Forest City,Fc3d3,1
Fort Dodge,1,2
Fort Dodge,4,2
Fort Dodge,8,1
Fort Dodge,9,1
Fort Dodge,10,2
Fort Dodge,12,1
Fort Dodge,Bd/Nwc,1
Fort Madison,Fm4a,4
Fort Madison,Fm5,1
Fremont,Ce,3
Garden Grove,Gg,1
Gilbert,22,2
Glenwood,Gw3,1
Glenwood,Gwr,1
Glenwood,Ok,1
Grand Junction,East,1
Greenfield,05gf,5
Grimes,Grimes1,5
Grimes,Grimes2,13
Grimes,Grimes3,1
Grimes,Wgg,3
Grinnell,5,8
Grinnell,6,14
Grinnell,7,6
Grinnell,8,3
Grinnell,9,6
Hamburg,Hb,5
Hawarden,Hw,1
Hiawatha,Hia01,3
Hiawatha,Hia02,1
Hiawatha,Hia03,1
Hinton,Ht,1
Homestead,Lx,2
Hudson,Dm00,2
Humboldt,H2-B-Sn,1
Humeston,H03,1
Huxley,25,3
Ida Grove,Bl,1
Independence,I1,1
Independence,Pw,1
Independence,Qt,1
Indianola,Gr2lc2,2
Indianola,In2,2
Indianola,In3,2
Indianola,In4,1
Ionia,Ch,1
Iowa City,Ic.01,5
Iowa City,Ic.02,5
Iowa City,Ic.03,8
Iowa City,Ic.04,4
Iowa City,Ic.05,11
Iowa City,Ic.06,2
Iowa City,Ic.07,12
Iowa City,Ic.08,8
Iowa City,Ic.09,4
Iowa City,Ic.10,5
Iowa City,Ic.11,15
Iowa City,Ic.12,5
Iowa City,Ic.13,7
Iowa City,Ic.14,5
Iowa City,Ic.15,1
Iowa City,Ic.16,5
Iowa City,Ic.17,12
Iowa City,Ic.18,12
Iowa City,Ic.19,12
Iowa City,Ic.20,9
Iowa City,Ic.21,8
Iowa City,Ic.22,1
Iowa City,Ic.23,11
Iowa City,Ic.24,5
Iowa City,Np,2
Iowa City,Pn,1
Iowa City,Sc,1
Iowa City,Uh,3
Iowa City,Un,3
Iowa City,Wl,2
Iowa Falls,If1,1
Jamaica,East,1
Jefferson,Central,3
Jefferson,J1,4
Jefferson,J2,2
Jefferson,J3,3
Jesup,Js,2
Jesup,Pk02,1
Johnston,Jeff 1,2
Johnston,John 1,2
Johnston,John 2,5
Johnston,John 3,5
Johnston,John 4,5
Johnston,John 5,3
Johnston,John 6,2
Kalona,Ws,1
Kellogg,Hr,1
Keokuk,Jk,1
Keokuk,Ke1,10
Keokuk,Ke3,1
Keokuk,Ke6,2
Keokuk,Ke7,2
Keystone,Ka,1
Kimballton,2,1
Knoxville,Kx1,3
Knoxville,Kx2,1
Knoxville,Kxt,5
Lake City,Chjeglk,1
Lake Mills,Center,3
Lake Mills,Edlono,1
Lake Park,Pct 01,2
Lake View,7,1
Lakeside,1,1
Lakeside,Lkhm,4
Lamoni,Bl,3
