County,Precinct,Combined,Precinct ID,Delegates,Commit Goal,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold,Precinct Captains,MSQ Yang Support -1's,MSQ Yang Support - 2's,Total Support,298 Turnout
Black Hawk,W406,Black Hawk W406,946634,5,18,14,6,1,7.10%,17,0,0,5,6,88
Black Hawk,W501,Black Hawk W501,946635,4,15,12,5,0,0.00%,15,0,0,4,4,73
Black Hawk,W502,Black Hawk W502,946636,8,30,23,10,0,0.00%,30,0,3,6,9,150
Black Hawk,W503,Black Hawk W503,946637,7,27,21,9,1,4.80%,26,0,0,5,6,137
Black Hawk,W504,Black Hawk W504,946638,9,42,32,14,2,6.30%,40,0,3,11,16,209
Black Hawk,W505,Black Hawk W505,946639,10,71,53,24,0,0.00%,71,0,2,14,16,353
Black Hawk,W506,Black Hawk W506,946640,9,41,32,14,1,3.10%,40,1,4,11,16,209
Black Hawk,X101,Black Hawk X101,946641,8,32,24,11,0,0.00%,32,0,1,12,13,160
Black Hawk,X102,Black Hawk X102,946642,15,103,76,35,5,6.60%,98,1,3,18,26,501
Black Hawk,X103,Black Hawk X103,946643,15,78,59,27,1,1.70%,77,0,3,31,35,392
Black Hawk,X201,Black Hawk X201,946644,4,10,9,4,0,0.00%,10,0,1,8,9,55
Black Hawk,X202,Black Hawk X202,946645,14,60,45,20,5,11.10%,55,0,8,9,22,295
Black Hawk,X203,Black Hawk X203,946646,19,98,73,33,1,1.40%,97,0,6,22,29,481
Black Hawk,X301,Black Hawk X301,946647,10,50,38,17,1,2.60%,49,0,6,10,17,253
Black Hawk,X302,Black Hawk X302,946648,14,79,59,27,0,0.00%,79,0,1,13,14,392
Black Hawk,X303,Black Hawk X303,946649,9,26,22,10,1,4.50%,25,1,5,12,18,142
Black Hawk,X401,Black Hawk X401,946650,13,86,65,30,1,1.50%,85,0,8,20,29,428
Black Hawk,X402,Black Hawk X402,946651,10,48,36,17,1,2.80%,47,0,3,14,18,240
Black Hawk,X403,Black Hawk X403,946652,9,24,20,9,2,10.00%,22,1,3,5,10,127
Black Hawk,X501,Black Hawk X501,946653,13,82,61,28,0,0.00%,82,0,2,13,15,406
Black Hawk,X502,Black Hawk X502,946654,13,63,48,22,0,0.00%,63,0,6,8,14,317
Black Hawk,X503,Black Hawk X503,946655,11,59,44,20,1,2.30%,58,0,3,9,13,289
Boone,Bn1,Boone Bn1,946656,9,43,33,15,0,0.00%,43,0,0,11,11,219
Boone,Bn2,Boone Bn2,946657,10,56,42,19,0,0.00%,56,0,4,11,15,276
Boone,Bn3,Boone Bn3,946658,10,60,47,21,1,2.10%,59,1,5,17,23,308
Boone,Bn4,Boone Bn4,946659,12,58,47,21,1,2.10%,57,1,5,10,16,308
Boone,Bn5,Boone Bn5,946660,10,49,38,17,0,0.00%,49,0,1,6,7,248
Boone,Md1,Boone Md1,946661,4,14,12,5,1,8.30%,13,0,0,1,2,75
Boone,Md2,Boone Md2,946662,4,22,17,8,0,0.00%,22,0,1,1,2,113
Boone,Md3,Boone Md3,946663,3,17,13,8,0,0.00%,17,0,1,2,3,82
Boone,Og,Boone Og,946664,7,32,24,11,0,0.00%,32,0,0,6,6,160
Boone,Rp1,Boone Rp1,946665,5,24,19,9,1,5.30%,23,1,1,5,7,126
Boone,Rp2,Boone Rp2,946666,7,42,33,15,0,0.00%,42,0,1,4,5,217
Boone,Rp3,Boone Rp3,946667,3,17,14,8,0,0.00%,17,0,0,4,4,90
Boone,Rp4,Boone Rp4,946668,7,37,28,13,0,0.00%,37,0,0,5,5,186
Boone,Rp5,Boone Rp5,946669,3,14,11,6,0,0.00%,14,0,1,1,2,69
Boone,Rp6,Boone Rp6,946670,6,31,23,10,0,0.00%,31,0,1,6,7,150
Bremer,Dv,Bremer Dv,946673,9,49,37,17,4,10.80%,45,2,7,8,19,242
Bremer,Fd,Bremer Fd,946675,1,9,7,3,0,0.00%,9,0,0,0,0,46
Bremer,Jv,Bremer Jv,946679,5,21,17,7,0,0.00%,21,0,1,2,3,108
Bremer,La,Bremer La,946680,4,13,11,5,0,0.00%,13,0,0,3,3,69
Bremer,Pl,Bremer Pl,1593429,3,15,12,7,0,0.00%,15,0,1,2,3,78
Bremer,Rd,Bremer Rd,1593430,4,15,11,5,0,0.00%,15,0,0,2,2,72
Bremer,Su,Bremer Su,946681,6,30,24,11,0,0.00%,30,0,1,4,5,155
Bremer,Tr,Bremer Tr,1593431,5,20,16,7,0,0.00%,20,0,2,4,6,106
Bremer,Wl1,Bremer Wl1,946682,9,53,42,19,2,4.80%,51,0,2,9,13,277
Bremer,Wl2,Bremer Wl2,946683,7,40,31,14,1,3.20%,39,0,2,9,12,201
Bremer,Wl3,Bremer Wl3,946684,5,17,13,6,0,0.00%,17,0,1,2,3,83
Bremer,Wl4,Bremer Wl4,946685,8,54,41,19,0,0.00%,54,0,0,7,7,268
Bremer,Wl5,Bremer Wl5,946686,9,67,51,23,1,2.00%,66,1,3,8,12,339
Buchanan,Ar,Buchanan Ar,946688,5,17,13,6,0,0.00%,17,0,0,2,2,86
Buchanan,Bd,Buchanan Bd,946689,4,10,9,4,0,0.00%,10,0,0,0,0,54
Buchanan,Fb,Buchanan Fb,946690,5,16,13,6,1,7.70%,15,0,2,4,7,82
Buchanan,Ht,Buchanan Ht,946691,4,10,9,4,0,0.00%,10,0,1,2,3,54
Buchanan,I1,Buchanan I1,946692,12,44,34,16,0,0.00%,44,0,1,12,13,225
Buchanan,I2,Buchanan I2,946693,6,25,19,9,1,5.30%,24,0,3,3,7,126
Buchanan,I3,Buchanan I3,946694,9,28,22,10,0,0.00%,28,0,2,10,12,140
Buchanan,I4,Buchanan I4,946695,6,22,17,8,0,0.00%,22,0,1,6,7,109
Buchanan,I5,Buchanan I5,946696,6,21,16,7,0,0.00%,21,0,1,2,3,103
Buchanan,Js,Buchanan Js,946697,11,38,29,13,3,10.30%,35,0,3,3,9,191
Buchanan,Mn,Buchanan Mn,1593432,3,8,6,3,0,0.00%,8,0,0,0,0,38
Buchanan,Pw,Buchanan Pw,946699,6,15,12,5,1,8.30%,14,1,4,11,16,75
Buchanan,Qt,Buchanan Qt,946700,6,20,15,7,0,0.00%,20,1,2,13,15,96
Buchanan,Rw,Buchanan Rw,946701,5,19,15,7,0,0.00%,19,0,1,3,4,95
Buchanan,Wn,Buchanan Wn,946702,7,27,20,9,0,0.00%,27,0,1,3,4,131
Buena Vista,1,Buena Vista 01,946703,7,13,11,5,7,63.60%,6,3,17,36,60,69
Buena Vista,2,Buena Vista 02,946704,4,9,7,3,4,57.10%,5,0,13,27,44,44
Buena Vista,3,Buena Vista 03,946705,7,27,21,9,4,19.00%,23,2,20,41,65,135
Buena Vista,4,Buena Vista 04,946706,8,26,21,9,5,23.80%,21,0,15,33,53,135
Buena Vista,Acfc,Buena Vista Acfc,948219,2,6,5,7,1,20.00%,5,0,0,3,4,33
Buena Vista,Alne,Buena Vista Alne,948220,5,19,14,6,3,21.40%,16,1,3,21,27,93
Buena Vista,Lkhm,Buena Vista Lkhm,948222,3,14,11,6,5,45.50%,9,0,5,17,27,67
Buena Vista,Nenp,Buena Vista Nenp,948224,2,6,5,6,0,0.00%,6,0,2,1,3,29
Buena Vista,S-M-L-R,Buena Vista S-M-L-R,1593433,5,14,11,5,0,0.00%,14,0,2,7,9,70
Buena Vista,Trwg,Buena Vista Trwg,948227,2,7,6,8,0,0.00%,7,0,0,9,9,38
Butler,1-Gr,Butler 1-Gr,1593434,10,30,24,11,0,0.00%,30,0,1,9,10,157
Butler,2-Cl,Butler 2-Cl,1593435,11,23,18,8,0,0.00%,23,0,0,2,2,118
Butler,3-Du,Butler 3-Du,1593436,4,9,8,3,0,0.00%,9,0,1,2,3,49
Butler,4-Al,Butler 4-Al,1593437,4,9,7,3,0,0.00%,9,0,0,2,2,46
Butler,5-Ap,Butler 5-Ap,1593438,5,10,8,3,0,0.00%,10,0,0,1,1,49
Butler,6-Sr,Butler 6-Sr,1593439,11,27,20,9,0,0.00%,27,0,1,8,9,132
Butler,7-Pb,Butler 7-Pb,1593440,10,33,26,12,0,0.00%,33,0,1,2,3,170
Butler,8-Nh,Butler 8-Nh,1593441,5,15,11,5,1,9.10%,14,0,2,5,8,72
Calhoun,Buwm,Calhoun Buwm,948228,6,12,10,4,1,10.00%,11,0,0,6,7,60
Calhoun,Cedar,Calhoun Cedar,948229,1,6,5,2,0,0.00%,6,0,0,0,0,31
Calhoun,Chjeglk,Calhoun Chjeglk,948230,15,30,23,10,0,0.00%,30,0,1,6,7,147
Calhoun,Cnlgtga,Calhoun Cnlgtga,948231,5,10,9,4,0,0.00%,10,0,0,0,0,59
Calhoun,Greenfi,Calhoun Greenfi,948232,2,5,5,6,0,0.00%,5,0,0,0,0,28
Calhoun,Lincoln,Calhoun Lincoln,948234,10,23,18,8,0,0.00%,23,0,1,2,3,114
Calhoun,Reading,Calhoun Reading,948235,3,5,5,3,0,0.00%,5,0,0,0,0,28
Calhoun,Rockwel,Calhoun Rockwel,948236,13,29,24,11,0,0.00%,29,0,4,2,6,153
Calhoun,Sherman,Calhoun Sherman,948237,3,8,7,4,0,0.00%,8,0,0,0,0,44
Calhoun,Union,Calhoun Union,948238,2,7,6,7,0,0.00%,7,0,1,0,1,34
Carroll,1,Carroll 01,946719,14,35,28,13,0,0.00%,35,0,3,13,16,186
Carroll,2,Carroll 02,946720,18,54,41,19,5,12.20%,49,1,13,19,37,269
Carroll,3,Carroll 03,946721,13,28,22,10,1,4.50%,27,0,4,11,16,140
Carroll,4,Carroll 04,946722,13,30,24,11,0,0.00%,30,0,1,13,14,155
Carroll,5,Carroll 05,946723,4,10,9,4,0,0.00%,10,0,0,0,0,54
Carroll,6,Carroll 06,946724,5,9,7,3,0,0.00%,9,0,0,2,2,46
Carroll,7,Carroll 07,946725,2,7,6,8,0,0.00%,7,0,0,0,0,38
Carroll,8,Carroll 08,946726,7,20,16,7,0,0.00%,20,0,0,5,5,101
Carroll,9,Carroll 09,946727,4,10,8,4,0,0.00%,10,0,1,0,1,52
Carroll,10,Carroll 10,946728,3,8,7,4,0,0.00%,8,0,0,2,2,41
Carroll,11,Carroll 11,946729,8,28,21,9,0,0.00%,28,0,1,2,3,137
Carroll,12,Carroll 12,946730,2,6,5,6,0,0.00%,6,0,0,1,1,28
Carroll,13,Carroll 13,946731,7,20,16,7,1,6.30%,19,1,2,1,4,101
Cass,An,Cass An,946739,6,21,16,7,0,0.00%,21,0,0,0,0,103
Cass,At1,Cass At1,946732,4,13,10,4,0,0.00%,13,0,2,6,8,64
Cass,At2,Cass At2,946733,5,12,9,4,0,0.00%,12,0,1,3,4,57
Cass,At3,Cass At3,946734,5,13,12,5,0,0.00%,13,0,2,3,5,75
Cass,At4,Cass At4,946735,6,16,12,6,0,0.00%,16,0,1,0,1,80
Cass,At5,Cass At5,946736,6,20,16,7,0,0.00%,20,0,0,1,1,103
Cass,Bn,Cass Bn,946737,2,4,4,4,0,0.00%,4,0,0,0,0,21
Cass,Cu,Cass Cu,946743,1,5,5,2,0,0.00%,5,0,0,0,0,29
Cass,Gs,Cass Gs,946742,5,14,11,5,0,0.00%,14,0,1,1,2,72
Cass,Lw,Cass Lw,946738,3,10,8,5,0,0.00%,10,0,0,0,0,52
Cass,Mr,Cass Mr,946740,4,8,7,3,0,0.00%,8,0,0,2,2,44
Cass,Ms,Cass Ms,946741,2,4,4,5,0,0.00%,4,0,0,0,0,23
Cass,VI,Cass VI,946744,1,2,2,1,0,0.00%,2,0,0,0,0,11
Cedar,Cn,Cedar Cn,946745,8,33,24,11,0,0.00%,33,0,0,5,5,158
