County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Tama,Soc,Tama Soc,1593769,1,2,2,1,0,0.0%,2,0,0,0,0,0
Tama,Sp/Wc,Tama Sp/Wc,947994,6,14,11,5,0,0.0%,14,0,1,1,2,1.5
Tama,Tlcity,Tama Tlcity,1939115,11,38,29,13,0,0.0%,38,0,1,4,5,3
Tama,Yk,Tama Yk,947999,2,9,7,9,0,0.0%,9,0,0,0,0,0
Taylor,3twnshp,Taylor 3twnshp,1593771,3,6,5,3,0,0.0%,6,0,0,1,1,0.5
Taylor,Becity,Taylor Becity,1593772,6,10,8,3,3,37.5%,7,1,2,4,9,6.5
Taylor,Bk,Taylor Bk,948003,2,3,2,3,0,0.0%,3,0,1,0,1,1
Taylor,Cf,Taylor Cf,948004,2,6,5,6,0,0.0%,6,0,0,0,0,0
Taylor,Gravity,Taylor Gravity,1593773,2,5,4,5,0,0.0%,5,0,0,1,1,0.5
Taylor,Lx,Taylor Lx,1593774,11,22,17,8,0,0.0%,22,0,2,1,3,2.5
Taylor,Nm,Taylor Nm,948005,4,7,6,3,0,0.0%,7,0,0,0,0,0
Union,Af,Union Af,948008,9,14,12,5,0,0.0%,14,0,1,3,4,2
Union,Ar,Union Ar,948009,2,7,6,7,0,0.0%,7,0,0,0,0,0
Union,Cs1,Union Cs1,948010,10,21,17,7,2,11.8%,19,0,0,6,8,4
Union,Cs2,Union Cs2,948011,18,38,29,13,5,17.2%,33,0,2,9,16,10
Union,Cs3,Union Cs3,948012,13,23,19,8,0,0.0%,23,0,2,5,7,4
Union,Cs4,Union Cs4,948013,11,16,13,6,6,46.2%,10,0,1,8,15,10.5
Union,Cs5,Union Cs5,948014,13,35,27,12,0,0.0%,35,0,1,7,8,4.5
Union,Lr,Union Lr,948015,4,6,5,2,0,0.0%,6,0,1,8,9,4
Van Buren,Bi,Van Buren Bi,948016,4,11,10,4,0,0.0%,11,0,0,1,1,0.5
Van Buren,Bo,Van Buren Bo,948017,4,16,14,6,0,0.0%,16,0,1,4,5,2.5
Van Buren,Cn,Van Buren Cn,948018,2,5,6,7,0,0.0%,5,0,0,1,1,0.5
Van Buren,Do,Van Buren Do,948019,3,8,8,5,0,0.0%,8,0,1,1,2,1
Van Buren,Fm,Van Buren Fm,948020,4,7,7,3,0,0.0%,7,0,0,0,0,0
Van Buren,Ke,Van Buren Ke,948021,10,36,34,15,0,0.0%,36,0,0,0,0,0
Van Buren,Ml,Van Buren Ml,948022,2,6,7,8,0,0.0%,6,0,0,1,1,0.5
Van Buren,Sp,Van Buren Sp,948023,1,4,4,2,0,0.0%,4,0,1,1,2,2
Wapello,Ad,Wapello Ad,948024,6,23,18,8,0,0.0%,23,0,3,3,6,4.5
Wapello,Ag,Wapello Ag,948310,8,35,27,12,0,0.0%,35,0,1,3,4,2
Wapello,Cb,Wapello Cb,948025,5,11,9,4,1,11.1%,10,1,1,4,6,3.5
Wapello,Cn,Wapello Cn,948026,8,26,20,9,0,0.0%,26,0,2,4,6,4
Wapello,Cp,Wapello Cp,1655035,1,1,1,0,0,0.0%,1,0,0,0,0,0
Wapello,Cs,Wapello Cs,948027,1,4,4,2,0,0.0%,4,0,1,1,2,1
Wapello,Da,Wapello Da,948028,3,15,12,7,0,0.0%,15,0,0,2,2,1
Wapello,Gr,Wapello Gr,948029,4,16,13,6,1,7.7%,15,0,0,2,3,1.5
Wapello,Hi,Wapello Hi,948030,1,4,3,1,0,0.0%,4,0,0,0,0,0
Wapello,Ke,Wapello Ke,948031,4,22,18,8,1,5.6%,21,1,1,6,8,4
Wapello,Ot01,Wapello Ot01,948032,14,47,35,16,3,8.6%,44,0,10,15,28,20.5
Wapello,Ot02,Wapello Ot02,948033,20,85,62,29,2,3.2%,83,0,2,14,18,10.5
Wapello,Ot03,Wapello Ot03,948034,22,94,70,32,2,2.9%,92,0,2,12,16,10.5
Wapello,Ot04,Wapello Ot04,948035,11,32,25,11,0,0.0%,32,0,2,5,7,4.5
Wapello,Ot05,Wapello Ot05,948036,12,40,30,14,2,6.7%,38,0,2,5,9,7
Wapello,Ot06,Wapello Ot06,948037,12,43,32,15,0,0.0%,43,0,1,2,3,1.5
Wapello,Ot07,Wapello Ot07,948038,12,42,32,14,1,3.1%,41,0,0,9,10,5
Wapello,Ot08,Wapello Ot08,948039,13,54,40,18,0,0.0%,54,0,0,7,7,3.5
Wapello,Ot09,Wapello Ot09,948040,19,85,62,28,2,3.2%,83,0,3,6,11,7
Wapello,Ot10,Wapello Ot10,948041,15,61,45,20,0,0.0%,61,0,1,8,9,5
Wapello,Rl,Wapello Rl,948042,3,9,8,4,0,0.0%,9,0,0,2,2,1
Wapello,Wa,Wapello Wa,948043,6,25,19,8,1,5.3%,24,0,0,2,3,1.5
Warren,Al2,Warren Al2,948045,6,30,23,10,0,0.0%,30,0,3,11,14,8
Warren,Al3,Warren Al3,1593776,8,44,33,15,2,6.1%,42,1,1,9,12,6.5
Warren,Bm,Warren Bm,948046,1,3,3,1,0,0.0%,3,0,1,1,2,1.5
Warren,Cm Wdm,Warren Cm Wdm,1593777,2,15,12,16,0,0.0%,15,0,1,1,2,1.5
Warren,Gr1,Warren Gr1,948047,5,42,32,14,1,3.1%,41,0,1,8,10,5.5
Warren,Gr1dm85,Warren Gr1dm85,1593778,6,67,50,23,0,0.0%,67,0,1,7,8,4.5
Warren,Gr1dm86,Warren Gr1dm86,1593779,1,4,4,1,0,0.0%,4,0,0,1,1,0.5
Warren,Gr2lc2,Warren Gr2lc2,1593780,7,58,43,20,2,4.7%,56,0,1,20,23,11.5
Warren,In1,Warren In1,948049,5,36,28,13,0,0.0%,36,0,2,4,6,4
Warren,In2,Warren In2,948050,9,54,41,19,2,4.9%,52,0,3,12,17,11.5
Warren,In3,Warren In3,948051,5,34,26,12,2,7.7%,32,1,3,10,15,9
Warren,In4,Warren In4,948052,11,101,76,35,2,2.6%,99,0,3,15,20,12.5
Warren,In5,Warren In5,1833337,6,49,36,16,0,0.0%,49,0,0,9,9,4.5
Warren,In6,Warren In6,1833338,5,45,33,15,0,0.0%,45,0,1,5,6,4
Warren,In7,Warren In7,1833339,9,59,46,21,0,0.0%,59,0,1,19,20,10.5
Warren,Jf,Warren Jf,948053,4,35,27,12,1,3.7%,34,1,1,10,12,6.5
Warren,Jk,Warren Jk,948054,3,30,23,14,0,0.0%,30,0,1,7,8,4
Warren,Lb,Warren Lb,948055,1,9,7,3,0,0.0%,9,0,4,3,7,5
Warren,Lc1,Warren Lc1,1593781,2,16,12,16,0,0.0%,16,0,0,2,2,1.5
Warren,Nw1,Warren Nw1,948058,8,64,50,23,1,2.0%,63,0,3,15,19,10.5
Warren,Nw2 Gr1,Warren Nw2 Gr1,1593782,7,42,32,15,1,3.1%,41,0,1,7,9,5.5
Warren,Nw3 Ln,Warren Nw3 Ln,1593783,12,88,66,30,1,1.5%,87,0,7,21,29,18.5
Warren,Nwk4,Warren Nwk4,1593784,10,63,48,22,1,2.1%,62,0,2,12,15,9
Warren,Ot Ml,Warren Ot Ml,1593785,4,31,24,11,1,4.2%,30,0,0,2,3,2
Warren,Pm,Warren Pm,948062,1,13,10,4,0,0.0%,13,0,1,1,2,1.5
Warren,Rl,Warren Rl,948063,3,22,18,11,0,0.0%,22,0,2,7,9,6
Warren,Sqc,Warren Sqc,1991141,2,8,7,9,0,0.0%,8,0,0,2,2,1
Warren,Un,Warren Un,948065,1,13,10,4,1,10.0%,12,1,0,5,6,3
Warren,Va,Warren Va,948066,2,20,15,21,0,0.0%,20,0,0,3,3,1.5
Warren,Wb,Warren Wb,948067,1,14,11,5,0,0.0%,14,0,0,0,0,0
Warren,Who,Warren Who,948068,3,17,13,8,0,0.0%,17,0,2,5,7,4
Washington,Aw,Washington Aw,948069,8,20,16,7,3,18.8%,17,2,2,7,12,8
Washington,Bmc,Washington Bmc,1593793,5,18,15,7,0,0.0%,18,0,2,6,8,5
Washington,Ka,Washington Ka,948074,9,43,35,16,0,0.0%,43,0,3,11,14,9
Washington,Rs,Washington Rs,948330,7,35,26,12,0,0.0%,35,0,0,10,10,5.5
Washington,Wc,Washington Wc,948076,3,12,9,5,0,0.0%,12,0,0,1,1,0.5
Washington,Wl,Washington Wl,948331,9,37,28,13,0,0.0%,37,0,2,2,4,3
Washington,Ws1,Washington Ws1,948077,6,26,21,9,1,4.8%,25,0,1,7,9,5.5
Washington,Ws2,Washington Ws2,948078,7,21,17,8,1,5.9%,20,0,2,4,7,5
Washington,Ws3,Washington Ws3,948079,8,35,28,13,0,0.0%,35,0,0,6,6,3
Washington,Ws4,Washington Ws4,948080,8,34,27,12,1,3.7%,33,0,2,7,10,6.5
Wayne,A01,Wayne A01,948332,8,16,13,6,0,0.0%,16,0,1,0,1,1
Wayne,C02,Wayne C02,948333,13,27,20,9,1,5.0%,26,0,2,4,7,4.5
Wayne,H03,Wayne H03,948334,10,18,14,6,0,0.0%,18,0,1,3,4,2.5
Wayne,S04,Wayne S04,948335,9,23,17,8,0,0.0%,23,0,1,0,1,1
Webster,1,Webster 01,948092,19,48,36,16,2,5.6%,46,0,1,5,8,6
Webster,2,Webster 02,948096,16,35,26,12,0,0.0%,35,0,6,8,14,9
Webster,3,Webster 03,948097,13,38,29,13,0,0.0%,38,0,2,8,10,5.5
Webster,4,Webster 04,948098,14,22,18,8,2,11.1%,20,0,2,7,11,7.5
Webster,5,Webster 05,948099,9,21,17,8,1,5.9%,20,0,1,2,4,3
Webster,6,Webster 06,948100,6,9,8,3,0,0.0%,9,0,1,5,6,3.5
Webster,7,Webster 07,948101,14,22,17,8,0,0.0%,22,0,5,7,12,8.5
Webster,8,Webster 08,948102,13,24,19,8,1,5.3%,23,0,1,4,6,4
Webster,9,Webster 09,948103,13,25,20,9,1,5.0%,24,0,3,10,14,9.5
Webster,10,Webster 10,948093,15,33,26,12,2,7.7%,31,0,3,8,13,9
Webster,11,Webster 11,948094,18,43,33,15,0,0.0%,43,0,2,7,9,5
Webster,12,Webster 12,948095,14,36,27,12,1,3.7%,35,0,1,11,13,7
Webster,Bd/Nwc,Webster Bd/Nwc,1593794,9,19,15,7,0,0.0%,19,0,0,1,1,0.5
Webster,Cd,Webster Cd,948105,4,12,9,4,0,0.0%,12,0,0,1,1,0.5
Webster,Cp,Webster Cp,1593795,2,4,4,4,0,0.0%,4,0,1,1,2,2
Webster,Cr,Webster Cr,948106,3,7,6,3,0,0.0%,7,0,1,1,2,1.5
Webster,Da/Bu,Webster Da/Bu,948311,9,17,14,6,1,7.1%,16,0,0,2,3,1.5
Webster,Dj,Webster Dj,948107,4,10,8,3,0,0.0%,10,0,0,2,2,1
Webster,Do,Webster Do,948108,8,18,14,6,0,0.0%,18,0,1,3,4,2.5
Webster,El,Webster El,948109,5,8,7,3,0,0.0%,8,0,1,3,4,2
Webster,Fu,Webster Fu,948110,2,6,5,6,0,0.0%,6,0,0,0,0,0
Webster,Go,Webster Go,948111,7,16,13,6,0,0.0%,16,0,1,0,1,1
Webster,Jo,Webster Jo,948112,3,10,8,5,1,12.5%,9,0,1,3,5,3
Webster,Lg,Webster Lg,948113,2,6,5,6,0,0.0%,6,0,2,2,4,2.5
Webster,Ne,Webster Ne,948115,2,4,3,4,0,0.0%,4,0,0,0,0,0
Webster,Ot/Pv,Webster Ot/Pv,1593796,9,20,15,7,0,0.0%,20,0,2,2,4,3.5
Webster,Swyh,Webster Swyh,948119,5,14,11,5,0,0.0%,14,0,0,1,1,0.5
Webster,Wa,Webster Wa,1593797,2,3,3,3,0,0.0%,3,0,0,1,1,0.5
Winnebago,Bugrlc,Winnebago Bugrlc,1593798,5,12,10,4,0,0.0%,12,0,0,6,6,3
Winnebago,Center,Winnebago Center,948313,10,21,17,7,1,5.9%,20,0,1,9,11,7
Winnebago,Edlono,Winnebago Edlono,948314,2,4,4,4,3,75.0%,1,0,1,3,7,6
Winnebago,Fc 1,Winnebago Fc 1,948315,5,13,10,5,2,20.0%,11,0,1,10,13,7.5
Winnebago,Fc 2,Winnebago Fc 2,948316,4,5,4,2,7,175.0%,-2,2,0,2,9,8
Winnebago,Fc 4,Winnebago Fc 4,948317,3,10,8,5,1,12.5%,9,0,0,7,8,4
Winnebago,Fc3d3,Winnebago Fc3d3,948318,4,9,7,3,1,14.3%,8,1,2,12,15,9
Winnebago,Kili,Winnebago Kili,948319,2,9,7,9,2,28.6%,7,0,1,3,6,4
Winnebago,Mvfod2,Winnebago Mvfod2,948321,2,4,4,4,0,0.0%,4,0,1,1,2,1.5
Winnebago,Nefod1,Winnebago Nefod1,948322,3,7,6,3,0,0.0%,7,0,0,2,2,1.5
Winneshiek,1,Winneshiek 01,948120,7,23,17,8,0,0.0%,23,0,1,2,3,2
Winneshiek,2,Winneshiek 02,948129,22,83,62,28,1,1.6%,82,1,3,26,30,15.5
Winneshiek,3,Winneshiek 03,948131,18,73,55,25,0,0.0%,73,0,5,13,18,11
Winneshiek,4,Winneshiek 04,948122,16,65,48,22,3,6.3%,62,1,2,13,18,10.5
Winneshiek,5,Winneshiek 05,948130,17,42,32,14,1,3.1%,41,0,0,6,7,4
Winneshiek,6,Winneshiek 06,948132,13,38,29,13,3,10.3%,35,0,4,31,38,21.5
Winneshiek,7,Winneshiek 07,948121,10,26,20,9,0,0.0%,26,0,0,9,9,5
Winneshiek,8,Winneshiek 08,948133,6,10,8,3,0,0.0%,10,0,0,2,2,1
Winneshiek,9,Winneshiek 09,1593799,9,18,13,6,0,0.0%,18,0,0,4,4,2
Winneshiek,10,Winneshiek 10,1593800,6,15,11,5,0,0.0%,15,0,2,3,5,3.5
Winneshiek,11,Winneshiek 11,1593801,1,4,3,1,0,0.0%,4,0,0,3,3,1.5
Woodbury,1,Woodbury 01,948134,8,61,46,21,4,8.7%,57,0,2,10,16,10.5
Woodbury,2,Woodbury 02,948135,8,36,27,12,4,14.8%,32,1,11,29,44,30
Woodbury,3,Woodbury 03,948136,8,51,38,17,1,2.6%,50,0,2,9,12,6.5
Woodbury,4,Woodbury 04,948137,5,22,17,7,2,11.8%,20,1,0,5,7,4
Woodbury,5,Woodbury 05,948138,8,44,34,15,2,5.9%,42,0,0,5,7,4.5
Woodbury,6,Woodbury 06,948139,9,57,43,19,5,11.6%,52,0,12,30,47,30.5
Woodbury,7,Woodbury 07,948140,8,44,34,15,4,11.8%,40,0,10,19,33,22.5
Woodbury,8,Woodbury 08,948141,5,20,16,7,0,0.0%,20,0,2,3,5,3.5
Woodbury,9,Woodbury 09,948142,3,11,8,5,1,12.5%,10,0,0,5,6,3.5
Woodbury,10,Woodbury 10,948143,8,53,41,19,7,17.1%,46,2,7,28,42,26.5
Woodbury,11,Woodbury 11,948144,4,13,10,4,0,0.0%,13,0,1,1,2,2
Woodbury,12,Woodbury 12,948145,9,59,47,22,2,4.3%,57,1,5,18,25,14.5
Woodbury,13,Woodbury 13,948146,4,22,17,8,1,5.9%,21,1,2,6,9,4.5
Woodbury,14,Woodbury 14,948147,6,25,19,9,0,0.0%,25,0,1,2,3,2
Woodbury,15,Woodbury 15,948148,7,38,29,13,0,0.0%,38,0,3,7,10,7
Woodbury,16,Woodbury 16,948149,7,40,33,15,4,12.1%,36,1,1,11,16,10
Woodbury,17,Woodbury 17,948150,9,62,47,21,3,6.4%,59,0,4,7,14,10
Woodbury,18,Woodbury 18,948151,8,46,36,16,1,2.8%,45,0,4,7,12,8
Woodbury,19,Woodbury 19,948152,9,58,43,20,3,7.0%,55,1,1,10,14,9
Woodbury,20,Woodbury 20,948153,5,22,17,8,2,11.8%,20,0,0,4,6,4
Woodbury,21,Woodbury 21,948154,7,29,24,11,5,20.8%,24,0,4,10,19,13.5
Woodbury,22,Woodbury 22,948155,8,56,44,20,6,13.6%,50,2,15,26,47,32
Woodbury,23,Woodbury 23,948156,7,40,30,14,3,10.0%,37,0,2,9,14,9
Woodbury,24,Woodbury 24,948157,7,42,31,14,10,32.3%,32,0,7,15,32,23.5
Woodbury,25,Woodbury 25,948158,7,41,32,15,3,9.4%,38,0,5,12,20,12.5
Woodbury,26,Woodbury 26,948159,8,47,36,16,5,13.9%,42,1,20,37,62,39.5
Woodbury,27,Woodbury 27,948160,8,44,32,15,5,15.6%,39,0,9,16,30,22
Woodbury,28,Woodbury 28,948161,13,98,76,35,2,2.6%,96,0,6,37,45,25
Woodbury,29,Woodbury 29,948162,7,37,29,13,1,3.4%,36,0,1,10,12,6.5
Woodbury,30,Woodbury 30,948163,6,36,27,12,4,14.8%,32,1,4,7,15,10.5
Woodbury,31,Woodbury 31,948164,3,17,14,8,1,7.1%,16,0,0,4,5,3
Woodbury,32,Woodbury 32,948165,2,9,8,10,0,0.0%,9,0,1,1,2,1
Woodbury,33,Woodbury 33,948166,1,7,6,3,1,16.7%,6,0,1,2,4,3
Woodbury,34,Woodbury 34,948167,2,13,10,14,0,0.0%,13,0,1,3,4,2.5
Woodbury,35,Woodbury 35,948168,5,24,20,9,1,5.0%,23,0,2,4,7,5
Woodbury,36,Woodbury 36,948169,2,10,9,12,1,11.1%,9,0,0,1,2,1
Woodbury,37,Woodbury 37,948170,1,4,4,1,0,0.0%,4,0,1,0,1,1
Woodbury,38,Woodbury 38,948171,2,9,8,10,1,12.5%,8,0,0,1,2,1.5
Woodbury,39,Woodbury 39,948172,1,2,2,1,0,0.0%,2,0,0,0,0,0
Woodbury,40,Woodbury 40,948173,1,10,8,3,0,0.0%,10,0,1,1,2,1
Woodbury,41,Woodbury 41,948174,1,6,5,2,0,0.0%,6,0,1,1,2,1.5
Woodbury,42,Woodbury 42,948175,1,6,5,2,0,0.0%,6,0,0,0,0,0
Woodbury,43,Woodbury 43,948176,1,1,1,0,0,0.0%,1,0,0,0,0,0
Woodbury,44,Woodbury 44,948177,1,6,5,2,0,0.0%,6,0,0,0,0,0
Worth,W11,Worth W11,948178,9,5,4,2,0,0.0%,5,0,0,3,3,1.5
Worth,W12,Worth W12,948179,18,16,12,5,0,0.0%,16,0,3,9,12,8
Worth,W21,Worth W21,948180,7,11,8,4,0,0.0%,11,0,0,5,5,2.5
Worth,W22,Worth W22,948181,7,13,10,4,0,0.0%,13,0,0,3,3,1.5
Worth,W23,Worth W23,948182,5,4,3,1,0,0.0%,4,0,0,0,0,0
Worth,W24,Worth W24,948183,5,7,6,3,0,0.0%,7,0,0,1,1,0.5
Worth,W31,Worth W31,948186,24,29,23,10,4,17.4%,25,0,10,14,28,18
Wright,Big_6,Wright Big_6,1593802,4,13,11,5,0,0.0%,13,0,0,5,5,2.5
Wright,Bm,Wright Bm,948188,14,44,34,15,2,5.9%,42,1,4,2,8,7
Wright,Cl,Wright Cl,948190,9,20,17,7,0,0.0%,20,0,2,4,6,3.5
Wright,Dows,Wright Dows,1593803,3,5,5,3,0,0.0%,5,0,0,0,0,0
Wright,Eg1,Wright Eg1,948192,2,5,4,5,0,0.0%,5,0,0,0,0,0
Wright,Eg2,Wright Eg2,948193,3,6,5,3,0,0.0%,6,0,0,0,0,0.5
Wright,Eg3,Wright Eg3,948194,3,7,6,3,0,0.0%,7,0,1,1,2,1.5
Wright,Eg4,Wright Eg4,948195,3,7,6,3,0,0.0%,7,0,0,1,1,0.5
Wright,Gldfld,Wright Gldfld,1593804,2,6,5,6,0,0.0%,6,0,1,0,1,1
Wright,Ruraleg,Wright Ruraleg,1593805,2,4,4,5,0,0.0%,4,0,0,1,1,0.5
NULL,NULL,NULL,NULL,NULL,NULL,,,,,,201,,,,
Total People,,,,11403,59484,45635,21825,2050,,,529,,,,
