County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Polk,Wdm-212,Polk Wdm-212,947770,11,101,80,37,7,8.8%,94,1,7,32,46,27
Polk,Wdm-213,Polk Wdm-213,947771,6,65,48,22,1,2.1%,64,0,7,9,17,11.5
Polk,Wdm-311,Polk Wdm-311,947774,10,82,63,29,6,9.5%,76,1,10,21,37,23.5
Polk,Wdm-312,Polk Wdm-312,947775,10,100,74,34,2,2.7%,98,1,5,24,31,19.5
Polk,Wdm-313,Polk Wdm-313,947776,4,44,35,16,0,0.0%,44,0,1,6,7,4
Polk,Wdm-314,Polk Wdm-314,947777,6,50,40,18,3,7.5%,47,1,5,9,17,11.5
Polk,Wdm-315,Polk Wdm-315,947778,8,65,51,23,0,0.0%,65,0,5,12,17,11.5
Polk,Wdm-316,Polk Wdm-316,947779,11,103,79,36,3,3.8%,100,0,4,20,27,15
Polk,Wdm-317,Polk Wdm-317,1593730,9,98,72,33,2,2.8%,96,0,4,17,23,14
Polk,Wdm-318,Polk Wdm-318,1593731,3,27,21,13,0,0.0%,27,0,5,3,8,6
Polk,Whts 1,Polk Whts 1,947780,6,83,62,29,1,1.6%,82,0,2,15,18,10
Polk,Whts 2,Polk Whts 2,947781,7,98,72,33,2,2.8%,96,1,4,13,19,12
Polk,Whts 3,Polk Whts 3,947782,9,94,71,33,5,7.0%,89,1,4,17,26,15.5
Pottawattamie,Avoca,Pottawattamie Avoca,1593737,8,13,10,5,1,10.0%,12,0,0,6,7,4
Pottawattamie,Carson,Pottawattamie Carson,947805,3,9,8,4,0,0.0%,9,0,0,0,0,0
Pottawattamie,Cb 01,Pottawattamie Cb 01,947783,9,16,12,5,3,25.0%,13,0,3,2,8,7
Pottawattamie,Cb 02,Pottawattamie Cb 02,947784,12,24,19,8,1,5.3%,23,0,4,20,25,15
Pottawattamie,Cb 03,Pottawattamie Cb 03,947785,10,22,16,7,3,18.8%,19,1,5,21,29,16.5
Pottawattamie,Cb 04,Pottawattamie Cb 04,947786,10,25,20,9,1,5.0%,24,0,7,7,15,9.5
Pottawattamie,Cb 05,Pottawattamie Cb 05,947787,10,18,14,6,0,0.0%,18,0,1,14,15,8
Pottawattamie,Cb 06,Pottawattamie Cb 06,947788,15,27,21,9,1,4.8%,26,1,5,13,19,12
Pottawattamie,Cb 07,Pottawattamie Cb 07,947789,15,43,32,15,1,3.1%,42,0,8,25,34,20.5
Pottawattamie,Cb 08,Pottawattamie Cb 08,947790,18,45,35,16,2,5.7%,43,0,3,11,16,9
Pottawattamie,Cb 09,Pottawattamie Cb 09,947791,13,39,30,13,1,3.3%,38,0,7,13,21,14.5
Pottawattamie,Cb 10a,Pottawattamie Cb 10a,1593732,20,48,37,17,1,2.7%,47,0,9,29,39,22
Pottawattamie,Cb 10b,Pottawattamie Cb 10b,1593733,15,35,27,12,1,3.7%,34,0,1,6,8,4.5
Pottawattamie,Cb 11,Pottawattamie Cb 11,947793,17,52,39,18,2,5.1%,50,0,4,7,13,9.5
Pottawattamie,Cb 12,Pottawattamie Cb 12,947794,14,36,28,13,1,3.6%,35,1,4,5,10,7.5
Pottawattamie,Cb 13,Pottawattamie Cb 13,947795,10,29,22,10,4,18.2%,25,0,4,8,16,11.5
Pottawattamie,Cb 14,Pottawattamie Cb 14,947796,10,14,12,5,0,0.0%,14,0,4,3,7,5
Pottawattamie,Cb 15,Pottawattamie Cb 15,947797,11,12,10,4,1,10.0%,11,1,4,4,9,6.5
Pottawattamie,Cb 16,Pottawattamie Cb 16,947798,11,18,14,6,1,7.1%,17,0,8,17,26,16.5
Pottawattamie,Cb 17,Pottawattamie Cb 17,947799,15,20,15,7,1,6.7%,19,1,1,7,9,5
Pottawattamie,Cb 18,Pottawattamie Cb 18,947800,12,19,15,7,1,6.7%,18,1,3,2,6,5
Pottawattamie,Cb 19,Pottawattamie Cb 19,947801,9,18,14,6,2,14.3%,16,1,0,6,8,4.5
