County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Benton,Vt4,Benton Vt4,946591,5,10,15,11,7,0,0.0%,15,0,0,3,3,1.5,70,99,15
Benton,Wa,Benton Wa,946592,5,10,14,9,7,0,0.0%,14,0,3,1,4,3.2,57,90,14
Black Hawk,Aloo,Black Hawk Aloo,1593422,1,5,21,13,10,1,7.7%,20,0,2,9,12,7.25,86,139,21
Black Hawk,B000,Black Hawk B000,946594,1,1,5,3,3,0,0.0%,5,0,2,1,3,2.3,20,33,5
Black Hawk,C000,Black Hawk C000,1593423,1,8,30,24,14,0,0.0%,30,0,5,2,7,5.5,158,200,30
Black Hawk,Dk00,Black Hawk Dk00,1593424,1,7,27,21,13,0,0.0%,27,0,2,6,8,4.3,135,179,27
Black Hawk,Dm00,Black Hawk Dm00,1593425,1,10,42,28,20,2,7.1%,40,1,8,35,45,20.1,181,280,42
Black Hawk,Eo00,Black Hawk Eo00,1593426,1,7,28,16,13,0,0.0%,28,0,1,7,8,4.4,106,185,28
Black Hawk,G000,Black Hawk G000,1593427,1,1,5,5,3,0,0.0%,5,0,0,1,1,0.5,28,33,5
Black Hawk,J100,Black Hawk J100,946600,1,4,15,12,7,0,0.0%,15,0,0,5,5,2.5,77,97,15
Black Hawk,J200,Black Hawk J200,946601,1,3,14,13,7,0,0.0%,14,0,1,1,2,0.9,83,92,14
Black Hawk,J300,Black Hawk J300,946602,1,4,15,9,7,0,0.0%,15,0,2,4,6,3.8,59,98,15
Black Hawk,J400,Black Hawk J400,946603,1,4,16,14,8,0,0.0%,16,0,0,8,8,4.5,88,106,16
Black Hawk,N000,Black Hawk N000,946606,1,4,13,11,6,1,9.1%,12,1,0,5,6,3.45,70,83,12
Black Hawk,Ph01,Black Hawk Ph01,946607,1,3,14,8,7,0,0.0%,14,0,1,4,5,2.9,51,89,13
Black Hawk,Pk02,Black Hawk Pk02,946608,1,7,18,17,9,1,5.9%,17,0,1,8,10,5.85,109,115,17
Black Hawk,Q000,Black Hawk Q000,1593428,1,1,4,1,2,0,0.0%,4,0,0,0,0,0,5,21,3
Black Hawk,R000,Black Hawk R000,946609,1,3,13,12,6,0,0.0%,13,0,1,4,5,2.9,73,83,12
Black Hawk,S000,Black Hawk S000,946610,1,2,10,8,5,0,0.0%,10,0,0,2,2,1,51,62,9
Black Hawk,W101,Black Hawk W101,946611,1,10,35,43,17,6,14.0%,29,1,14,66,86,47.3,281,229,34
Black Hawk,W102,Black Hawk W102,946612,1,9,31,26,15,2,7.7%,29,0,5,13,20,13.4,171,202,30
Black Hawk,W103,Black Hawk W103,946613,1,8,33,25,16,3,12.0%,30,0,3,14,20,12.05,166,218,33
Black Hawk,W104,Black Hawk W104,946614,1,9,36,33,17,11,33.3%,25,2,8,55,74,42.65,214,238,36
Black Hawk,W105,Black Hawk W105,946615,1,8,27,21,13,0,0.0%,27,0,4,14,18,10.1,137,178,27
Black Hawk,W106,Black Hawk W106,946616,1,11,47,39,22,1,2.6%,46,1,2,8,11,6.25,256,312,47
Black Hawk,W201,Black Hawk W201,946617,1,6,22,24,11,0,0.0%,22,0,3,10,13,7.2,155,145,22
Black Hawk,W202,Black Hawk W202,946618,1,7,23,17,11,4,23.5%,19,1,4,20,28,13.9,111,152,23
Black Hawk,W203,Black Hawk W203,946619,1,9,32,21,15,1,4.8%,31,0,3,18,22,11.65,137,213,32
Black Hawk,W204,Black Hawk W204,946620,1,14,50,40,23,1,2.5%,49,1,6,8,15,9.85,261,327,49
Black Hawk,W205,Black Hawk W205,946621,1,9,40,27,19,4,14.8%,36,0,5,17,26,15.8,176,265,40
Black Hawk,W206,Black Hawk W206,946622,1,9,38,32,18,1,3.1%,37,0,2,9,12,6.75,212,252,38
Black Hawk,W301,Black Hawk W301,946623,1,8,31,30,15,3,10.0%,28,2,1,15,19,10.25,197,202,30
Black Hawk,W302,Black Hawk W302,946624,1,9,29,31,14,0,0.0%,29,0,5,7,12,7.5,201,193,29
Black Hawk,W303,Black Hawk W303,946625,1,7,20,18,10,0,0.0%,20,0,5,5,10,7,119,131,20
Black Hawk,W304,Black Hawk W304,946626,1,7,22,18,11,0,0.0%,22,0,1,7,8,3.9,114,145,22
Black Hawk,W305,Black Hawk W305,946627,1,11,39,35,18,3,8.6%,36,1,0,8,11,6.85,230,256,38
Black Hawk,W306,Black Hawk W306,946628,1,6,25,19,12,1,5.3%,24,0,2,6,9,5.75,124,166,25
Black Hawk,W401,Black Hawk W401,946629,1,10,33,32,16,2,6.3%,31,0,3,10,15,9.1,212,216,32
Black Hawk,W402,Black Hawk W402,946630,1,7,20,22,10,0,0.0%,20,0,2,9,11,5.8,145,133,20
Black Hawk,W403,Black Hawk W403,946631,1,5,18,9,9,11,122.2%,7,4,4,10,25,19.55,59,117,18
Black Hawk,W404,Black Hawk W404,946632,1,7,26,25,13,0,0.0%,26,0,1,7,8,3.9,162,173,26
Black Hawk,W405,Black Hawk W405,946633,1,11,34,32,16,2,6.3%,32,0,5,13,20,11.9,212,225,34
Black Hawk,W406,Black Hawk W406,946634,1,5,22,14,11,1,7.1%,21,0,1,5,7,3.85,88,144,22
Black Hawk,W501,Black Hawk W501,946635,1,4,17,12,8,0,0.0%,17,0,0,8,8,4,73,108,16
Black Hawk,W502,Black Hawk W502,946636,1,8,29,23,14,1,4.3%,28,1,4,8,13,7.55,150,188,28
Black Hawk,W503,Black Hawk W503,946637,1,7,28,21,13,4,19.0%,24,0,5,10,19,12.3,137,181,27
Black Hawk,W504,Black Hawk W504,946638,1,9,36,32,17,2,6.3%,34,1,4,11,17,10.5,209,238,36
Black Hawk,W505,Black Hawk W505,946639,1,10,43,53,20,3,5.7%,40,0,2,18,23,13.65,353,284,43
Black Hawk,W506,Black Hawk W506,946640,1,9,32,32,15,4,12.5%,28,1,8,36,48,18.5,209,209,31
Black Hawk,X101,Black Hawk X101,946641,1,8,32,24,15,1,4.2%,31,0,3,16,20,11.15,160,211,32
Black Hawk,X102,Black Hawk X102,946642,1,15,62,76,29,6,7.9%,56,2,7,19,32,21.5,501,412,62
Black Hawk,X103,Black Hawk X103,946643,1,15,58,59,27,7,11.9%,51,2,15,56,78,46.15,392,382,57
Black Hawk,X201,Black Hawk X201,946644,1,4,14,9,7,2,22.2%,12,0,0,9,11,6.4,55,91,14
Black Hawk,X202,Black Hawk X202,946645,1,14,57,45,27,6,13.3%,51,2,11,15,32,22.1,295,374,56
Black Hawk,X203,Black Hawk X203,946646,1,19,78,73,37,3,4.1%,75,0,8,28,39,22.55,481,520,78
Black Hawk,X301,Black Hawk X301,946647,1,10,45,38,21,1,2.6%,44,0,9,14,24,15.55,253,296,44
Black Hawk,X302,Black Hawk X302,946648,1,14,61,59,29,1,1.7%,60,0,1,16,18,10.85,392,401,60
Black Hawk,X303,Black Hawk X303,946649,1,9,30,22,14,1,4.5%,29,2,8,15,24,13.15,142,197,30
Black Hawk,X401,Black Hawk X401,946650,1,13,56,65,26,4,6.2%,52,1,10,22,36,22.3,428,371,56
Black Hawk,X402,Black Hawk X402,946651,1,10,37,36,17,2,5.6%,35,2,5,16,23,13.4,240,241,36
Black Hawk,X403,Black Hawk X403,946652,1,9,24,20,12,3,15.0%,21,3,3,6,12,8.55,127,158,24
Black Hawk,X501,Black Hawk X501,946653,1,13,52,61,25,1,1.6%,51,1,4,18,23,13.55,406,344,52
Black Hawk,X502,Black Hawk X502,946654,1,13,47,48,22,1,2.1%,46,0,7,10,18,11.75,317,307,46
Black Hawk,X503,Black Hawk X503,946655,1,11,45,44,21,1,2.3%,44,0,3,9,13,8.15,289,298,45
Boone,Bn1,Boone Bn1,946656,6,9,32,33,15,0,0.0%,32,0,2,13,15,8.3,219,210,32
Boone,Bn2,Boone Bn2,946657,6,10,38,42,18,0,0.0%,38,0,4,13,17,10.1,276,247,37
Boone,Bn3,Boone Bn3,946658,6,10,37,47,18,1,2.1%,36,1,6,22,29,16.35,308,246,37
Boone,Bn4,Boone Bn4,946659,6,12,44,47,21,2,4.3%,42,1,6,13,21,12.8,308,292,44
Boone,Bn5,Boone Bn5,946660,6,10,32,38,15,0,0.0%,32,0,2,9,11,6.3,248,210,32
Boone,Md1,Boone Md1,946661,6,4,12,12,6,1,8.3%,11,0,1,2,4,2.85,75,79,12
Boone,Md2,Boone Md2,946662,6,4,12,17,6,0,0.0%,12,0,1,1,2,1.4,113,79,12
Boone,Md3,Boone Md3,946663,6,3,11,13,6,0,0.0%,11,0,2,3,5,3.3,82,72,11
Boone,Og,Boone Og,946664,6,7,25,24,12,2,8.3%,23,0,1,7,10,5.8,160,161,24
Boone,Rp1,Boone Rp1,946665,6,5,12,19,6,0,0.0%,12,0,1,8,9,4.9,126,80,12
Boone,Rp2,Boone Rp2,946666,6,7,28,33,13,0,0.0%,28,0,1,7,8,4.4,217,181,27
Boone,Rp3,Boone Rp3,946667,6,3,12,14,6,0,0.0%,12,0,0,5,5,3,90,79,12
Boone,Rp4,Boone Rp4,946668,6,7,26,28,12,1,3.6%,25,0,1,7,9,4.85,186,168,25
Boone,Rp5,Boone Rp5,946669,6,3,12,11,6,0,0.0%,12,0,1,1,2,1.4,69,77,12
Boone,Rp6,Boone Rp6,946670,6,6,23,23,11,0,0.0%,23,0,2,7,9,5.3,150,152,23
Bremer,Dv,Bremer Dv,946673,1,9,40,37,19,4,10.8%,36,2,8,25,37,22,242,266,40
Bremer,Fd,Bremer Fd,946675,1,1,6,7,3,0,0.0%,6,0,0,0,0,0,46,37,6
Bremer,Jv,Bremer Jv,946679,1,5,19,17,9,0,0.0%,19,0,2,10,12,4.8,108,122,18
Bremer,La,Bremer La,946680,1,4,15,11,7,0,0.0%,15,0,1,5,6,3.4,69,94,14
Bremer,Pl,Bremer Pl,1593429,1,3,13,12,7,1,8.3%,12,0,1,3,5,2.85,78,86,13
Bremer,Rd,Bremer Rd,1593430,1,4,18,11,9,0,0.0%,18,0,7,12,19,11.3,72,117,18
