County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Cerro Gordo,Cl3,Cerro Gordo Cl3,946759,1,9,34,16,16,3,18.8%,31,0,3,13,19,11.55,101,223,33
Cerro Gordo,Fln,Cerro Gordo Fln,946761,1,2,7,5,4,0,0.0%,7,0,0,2,2,1,29,45,7
Cerro Gordo,Fls,Cerro Gordo Fls,946762,1,1,6,5,3,0,0.0%,6,0,1,1,2,1.4,29,37,6
Cerro Gordo,Gme,Cerro Gordo Gme,946763,1,1,5,5,3,0,0.0%,5,0,0,4,4,2,31,33,5
Cerro Gordo,Gmw,Cerro Gordo Gmw,946764,1,1,3,3,2,0,0.0%,3,0,0,1,1,0.5,16,19,3
Cerro Gordo,Gn,Cerro Gordo Gn,946765,1,5,13,12,6,1,8.3%,12,1,1,4,6,3.35,73,85,13
Cerro Gordo,Lcn,Cerro Gordo Lcn,1593443,1,2,8,4,4,0,0.0%,8,0,0,3,3,1.5,23,49,7
Cerro Gordo,Lk,Cerro Gordo Lk,946766,1,2,7,3,4,0,0.0%,7,0,1,4,5,3.9,16,44,7
Cerro Gordo,Mc W1p1,Cerro Gordo Mc W1p1,946767,1,8,23,19,11,3,15.8%,20,0,7,12,22,14.65,126,149,22
Cerro Gordo,Mc W1p2,Cerro Gordo Mc W1p2,946768,1,10,30,19,14,2,10.5%,28,0,5,10,17,11.9,126,198,30
Cerro Gordo,Mc W1p3,Cerro Gordo Mc W1p3,946769,1,11,35,33,17,3,9.1%,32,2,3,18,24,16.05,219,233,35
Cerro Gordo,Mc W2p1,Cerro Gordo Mc W2p1,946770,1,7,21,16,10,2,12.5%,19,0,3,8,13,8.1,103,138,21
Cerro Gordo,Mc W2p2,Cerro Gordo Mc W2p2,946771,1,13,41,36,19,7,19.4%,34,2,5,22,34,20.15,240,268,40
Cerro Gordo,Mc W2p3,Cerro Gordo Mc W2p3,946772,1,8,23,15,11,2,13.3%,21,1,6,13,21,11.8,95,147,22
Cerro Gordo,Mc W3p1,Cerro Gordo Mc W3p1,946773,1,11,30,29,14,6,20.7%,24,1,6,14,26,17.6,189,199,30
Cerro Gordo,Mc W3p2,Cerro Gordo Mc W3p2,946774,1,8,25,18,12,0,0.0%,25,0,3,14,17,6.7,118,165,25
Cerro Gordo,Mc W3p3,Cerro Gordo Mc W3p3,946775,1,14,44,29,21,2,6.9%,42,1,8,18,28,18.1,193,290,44
Cerro Gordo,Mc W4p1,Cerro Gordo Mc W4p1,946776,1,8,21,13,10,0,0.0%,21,0,0,17,17,7,86,139,21
Cerro Gordo,Mc W4p2,Cerro Gordo Mc W4p2,946777,1,9,27,19,13,2,10.5%,25,1,9,11,22,16,122,177,27
Cerro Gordo,Mc W4p3,Cerro Gordo Mc W4p3,946778,1,11,34,24,16,4,16.7%,30,1,7,16,27,18.6,160,223,33
Cerro Gordo,Msb,Cerro Gordo Msb,1593444,1,2,8,5,4,0,0.0%,8,0,0,4,4,2,31,51,8
Cerro Gordo,Mv,Cerro Gordo Mv,946780,1,2,8,5,4,0,0.0%,8,0,0,2,2,1,28,53,8
Cerro Gordo,Pod,Cerro Gordo Pod,1593445,1,3,10,5,5,0,0.0%,10,0,1,1,2,1.4,29,66,10
Cherokee,1 Aur,Cherokee 1 Aur,948239,3,8,19,12,9,0,0.0%,19,0,1,3,4,2.4,80,123,18
Cherokee,2 Cleg,Cherokee 2 Cleg,948240,3,9,23,8,11,0,0.0%,23,0,5,7,12,6.5,49,153,23
Cherokee,3 Quim,Cherokee 3 Quim,948241,3,5,14,11,7,0,0.0%,14,0,0,2,2,1,67,93,14
Cherokee,4 Cher,Cherokee 4 Cher,948242,3,6,15,9,7,0,0.0%,15,0,0,3,3,1.5,54,95,14
Cherokee,5 Ch W1,Cherokee 5 Ch W1,946782,3,10,22,16,11,3,18.8%,19,0,1,4,8,5.25,103,143,21
Cherokee,6 Ch W2,Cherokee 6 Ch W2,946783,3,7,17,9,8,1,11.1%,16,0,1,1,3,2.35,54,108,16
Cherokee,7 Ch W3,Cherokee 7 Ch W3,946784,3,10,19,20,9,0,0.0%,19,0,0,7,7,3.5,129,123,18
Chickasaw,Bd,Chickasaw Bd,946785,1,18,28,16,13,0,0.0%,28,1,4,8,12,7.6,104,183,27
Chickasaw,Ch,Chickasaw Ch,946786,1,4,5,4,2,1,25.0%,4,0,0,0,1,0.95,23,27,4
Chickasaw,Da-Rd,Chickasaw Da-Rd,946787,1,4,8,5,4,0,0.0%,8,0,0,2,2,1,33,50,8
Chickasaw,Df-W2,Chickasaw Df-W2,946788,1,6,9,6,4,0,0.0%,9,0,0,1,1,0.5,38,57,9
Chickasaw,Ds-Fb,Chickasaw Ds-Fb,946789,1,12,19,15,9,0,0.0%,19,0,2,4,6,3.8,95,123,18
Chickasaw,Ja-Ut,Chickasaw Ja-Ut,946790,1,4,7,4,4,0,0.0%,7,0,0,3,3,1.5,26,45,7
Chickasaw,Nh1,Chickasaw Nh1,946791,1,9,11,15,6,0,0.0%,11,0,1,5,6,3.4,100,72,11
Chickasaw,Nh2,Chickasaw Nh2,946792,1,7,10,11,5,0,0.0%,10,0,0,2,2,1,69,62,9
Chickasaw,Nh3,Chickasaw Nh3,946793,1,10,13,15,6,0,0.0%,13,0,1,2,3,1.9,100,82,12
Chickasaw,Nh4,Chickasaw Nh4,946794,1,10,13,15,6,1,6.7%,12,1,0,2,3,1.45,100,85,13
Chickasaw,Nhr,Chickasaw Nhr,946795,1,5,9,4,4,0,0.0%,9,0,1,1,2,1.4,21,56,8
Chickasaw,St,Chickasaw St,946796,1,8,10,12,5,0,0.0%,10,0,2,4,6,3.8,75,61,9
Chickasaw,Wa1,Chickasaw Wa1,1996131,1,3,5,7,3,0,0.0%,5,0,0,0,0,0,42,29,4
Clarke,Mdl,Clarke Mdl,1593446,2,6,12,10,6,0,0.0%,12,0,1,5,6,3.4,64,77,12
Clarke,My,Clarke My,946798,2,6,14,13,7,0,0.0%,14,0,0,3,3,1.5,85,92,14
Clarke,Ne,Clarke Ne,1593447,2,9,19,22,9,1,4.5%,18,0,4,6,11,7.05,142,124,19
Clarke,Oc1,Clarke Oc1,946800,2,8,15,15,7,4,26.7%,11,0,0,16,20,11.3,100,94,14
Clarke,Oc2,Clarke Oc2,946801,2,8,14,15,7,7,46.7%,7,1,1,17,25,15.05,96,92,14
Clarke,Oc3,Clarke Oc3,946802,2,10,19,21,9,5,23.8%,14,4,3,12,20,11.45,134,125,19
Clarke,Wb,Clarke Wb,946804,2,3,7,8,4,0,0.0%,7,0,0,3,3,1.5,52,46,7
Clay,Dgpe,Clay Dgpe,946805,2,3,8,6,4,0,0.0%,8,0,0,2,2,1,38,52,8
Clay,Gfhd,Clay Gfhd,946806,2,2,6,4,3,0,0.0%,6,0,0,0,0,0,24,34,5
Clay,Lafr,Clay Lafr,946807,2,3,7,7,4,4,57.1%,3,1,0,2,6,3.8,41,46,7
Clay,Lggg,Clay Lggg,946808,2,2,6,3,3,0,0.0%,6,0,0,2,2,1,15,37,6
Clay,Lncl,Clay Lncl,946809,2,4,9,6,5,0,0.0%,9,0,0,0,0,0,34,58,9
Clay,Sp1,Clay Sp1,946812,2,10,24,20,11,1,5.0%,23,0,0,8,9,4.95,131,154,23
Clay,Sp2,Clay Sp2,946813,2,12,25,17,12,1,5.9%,24,0,7,14,22,13.25,111,163,24
Clay,Sp3,Clay Sp3,946814,2,12,27,24,13,0,0.0%,27,0,0,4,4,2,160,177,27
Clay,Sp4,Clay Sp4,946815,2,13,32,28,15,1,3.6%,31,0,0,4,5,2.45,181,209,31
Clay,Sp5,Clay Sp5,946816,2,13,29,23,14,0,0.0%,29,0,0,18,18,9,147,189,28
Clay,Srsm,Clay Srsm,1593448,2,7,17,11,8,2,18.2%,15,0,0,3,5,3.4,67,108,16
Clay,Wflt,Clay Wflt,946817,2,4,9,8,5,0,0.0%,9,0,1,0,1,0.9,47,58,9
Clayton,Bm-Hi,Clayton Bm-Hi,948243,1,9,30,43,14,0,0.0%,30,0,0,8,8,4,281,196,29
Clayton,Bv,Clayton Bv,946818,1,1,5,3,3,0,0.0%,5,0,0,0,0,0,15,30,5
Clayton,Cc-Sy,Clayton Cc-Sy,948244,1,3,10,12,5,0,0.0%,10,0,1,1,2,1.4,73,62,9
Clayton,Cl-Gv,Clayton Cl-Gv,948245,1,4,15,13,7,0,0.0%,15,0,3,1,4,3.7,86,94,14
Clayton,Cs,Clayton Cs,946819,1,5,20,20,10,0,0.0%,20,0,2,5,7,4.3,127,131,20
Clayton,Elmyvo,Clayton Elmyvo,948246,1,3,12,11,6,1,9.1%,11,0,1,2,4,2.85,70,80,12
Clayton,Fb-Wg,Clayton Fb-Wg,948247,1,3,11,8,5,0,0.0%,11,0,1,5,6,3.4,49,69,10
Clayton,Gdlumo,Clayton Gdlumo,948248,1,7,28,19,13,2,10.5%,26,0,2,1,5,4.7,121,182,27
Clayton,Gm,Clayton Gm,946820,1,1,5,3,3,0,0.0%,5,0,0,2,2,1,16,32,5
Clayton,Jf-Mv,Clayton Jf-Mv,948249,1,12,36,33,17,0,0.0%,36,0,2,8,10,5.8,215,238,36
Clayton,Lm,Clayton Lm,946821,1,2,7,3,3,0,0.0%,7,0,1,1,2,1.4,16,41,6
Clayton,Mn,Clayton Mn,948250,1,8,26,22,12,0,0.0%,26,0,4,2,6,3.6,145,168,25
Clayton,Mr,Clayton Mr,946822,1,1,4,1,2,0,0.0%,4,0,0,0,0,0,3,22,3
Clayton,Rd,Clayton Rd,946823,1,1,4,3,2,0,0.0%,4,0,0,1,1,0.5,15,21,3
Clinton,Bbrd,Clinton Bbrd,1593449,4,3,15,9,7,0,0.0%,15,0,1,3,4,2.4,55,97,15
Clinton,Cam1,Clinton Cam1,946826,4,8,32,16,15,2,12.5%,30,1,2,11,15,9.7,101,209,31
Clinton,Cam2,Clinton Cam2,946827,4,7,29,20,14,0,0.0%,29,0,2,10,12,6.8,129,190,29
Clinton,Cent,Clinton Cent,946829,4,1,6,4,3,0,0.0%,6,0,1,2,3,1.4,26,36,5
Clinton,Cl11,Clinton Cl11,946830,4,7,28,15,14,4,26.7%,24,2,3,9,16,10,96,186,28
Clinton,Cl12,Clinton Cl12,946831,4,9,38,20,18,1,5.0%,37,0,2,10,13,7.75,132,250,38
Clinton,Cl21,Clinton Cl21,946832,4,7,25,14,12,7,50.0%,18,2,8,10,25,17.35,91,164,25
Clinton,Cl22,Clinton Cl22,946833,4,12,51,44,24,4,9.1%,47,1,7,15,26,16.6,292,338,51
Clinton,Cl31,Clinton Cl31,946834,4,10,45,34,21,1,2.9%,44,0,7,9,17,11.75,222,294,44
Clinton,Cl32,Clinton Cl32,946835,4,12,45,37,21,1,2.7%,44,1,4,13,18,10.05,246,297,45
Clinton,Cl41,Clinton Cl41,946836,4,10,44,27,21,4,14.8%,40,0,2,19,25,14.6,175,290,44
Clinton,Cl42,Clinton Cl42,946837,4,10,43,33,21,5,15.2%,38,1,3,18,26,13.95,217,286,43
Clinton,Dcgl,Clinton Dcgl,1593450,4,2,8,4,4,0,0.0%,8,0,0,0,0,0,26,50,8
Clinton,Dew1,Clinton Dew1,946839,4,8,33,26,16,0,0.0%,33,0,4,10,14,8.6,168,216,32
Clinton,Dew2,Clinton Dew2,946840,4,10,39,27,18,0,0.0%,39,0,6,8,14,9.4,180,254,38
Clinton,Dewt,Clinton Dewt,946841,4,4,17,10,8,0,0.0%,17,0,3,4,7,4.7,62,113,17
Clinton,Edcm,Clinton Edcm,1593451,4,1,7,6,4,1,16.7%,6,0,1,3,5,2.85,36,46,7
Clinton,Erha,Clinton Erha,1593452,4,4,21,13,10,0,0.0%,21,0,3,8,11,6.7,86,135,20
Clinton,Lbto,Clinton Lbto,1593453,4,1,4,2,2,0,0.0%,4,0,0,0,0,0,13,23,3
Clinton,Lomo,Clinton Lomo,1593454,4,1,4,2,2,0,0.0%,4,0,0,1,1,0.5,10,23,3
Clinton,Ogca,Clinton Ogca,1593455,4,2,13,11,6,0,0.0%,13,0,0,0,0,0,69,85,13
Clinton,Orgm,Clinton Orgm,1593456,4,3,14,9,7,0,0.0%,14,0,0,5,5,3,59,87,13
Clinton,Shln,Clinton Shln,1593457,4,1,8,8,4,0,0.0%,8,0,0,0,0,0,47,51,8
Clinton,Srwh,Clinton Srwh,1593458,4,3,12,10,6,0,0.0%,12,0,0,0,0,0,62,80,12
Clinton,Wfch,Clinton Wfch,1593459,4,1,7,5,4,1,20.0%,6,1,0,2,3,1.45,31,46,7
Clinton,Wwaw,Clinton Wwaw,1593460,4,3,11,8,5,0,0.0%,11,0,0,3,3,1.5,47,70,11
Crawford,Co,Crawford Co,946857,3,2,9,7,4,1,14.3%,8,0,0,2,3,1.95,46,57,9
Crawford,D1,Crawford D1,946858,3,6,21,11,10,1,9.1%,20,1,3,9,13,7.15,72,140,21
Crawford,D2-Dt,Crawford D2-Dt,946859,3,8,25,13,12,0,0.0%,25,0,2,7,9,4.8,83,161,24
Crawford,D3-Gr,Crawford D3-Gr,1593461,3,8,26,18,12,1,5.6%,25,0,2,5,8,5.75,116,167,25
Crawford,Dc-Ab,Crawford Dc-Ab,1593462,3,4,14,19,7,0,0.0%,14,0,0,1,1,0.5,122,89,13
Crawford,Ne,Crawford Ne,1593463,3,4,15,10,7,0,0.0%,15,0,2,1,3,2.3,62,99,15
Crawford,Se,Crawford Se,1593464,3,5,19,10,9,0,0.0%,19,0,0,7,7,3.5,65,126,19
Crawford,Srk,Crawford Srk,1593465,3,3,15,8,7,1,12.5%,14,0,0,1,2,1.45,52,100,15
Dallas,Ads,Dallas Ads,1593466,6,2,18,19,9,1,5.3%,17,0,1,7,9,5.85,122,115,17
Dallas,Al1,Dallas Al1,1593467,6,3,27,29,13,1,3.4%,26,0,2,12,15,8.25,191,175,26
Dallas,Al2,Dallas Al2,1593468,6,4,47,44,22,1,2.3%,46,0,11,30,42,25.85,287,312,47
Dallas,Bdm,Dallas Bdm,1593469,6,4,30,44,14,4,9.1%,26,0,6,15,25,15.2,289,198,30
Dallas,Cl5,Dallas Cl5,1593470,6,5,53,51,25,3,5.9%,50,0,5,16,24,14.35,338,350,53
Dallas,Cl6,Dallas Cl6,1593471,6,6,62,50,29,4,8.0%,58,0,10,34,48,26.8,328,411,62
Dallas,Coa,Dallas Coa,1593472,6,2,18,17,8,0,0.0%,18,0,2,5,7,3.8,113,114,17
Dallas,Do,Dallas Do,946878,6,1,9,15,4,8,53.3%,1,0,8,12,28,20.8,98,57,9
Dallas,Lwl,Dallas Lwl,1593473,6,1,13,10,6,0,0.0%,13,0,1,2,3,1.9,64,84,13
Dallas,Py1,Dallas Py1,946883,6,4,28,34,13,0,0.0%,28,0,2,8,10,6.3,220,181,27
Dallas,Py2,Dallas Py2,946884,6,4,25,29,12,0,0.0%,25,0,4,4,8,6.6,193,162,24
Dallas,Py3,Dallas Py3,946885,6,3,24,23,11,2,8.7%,22,1,4,7,13,10.5,149,156,23
Dallas,Sd,Dallas Sd,1593474,6,1,13,17,6,1,5.9%,12,1,1,9,11,5.35,108,83,12
Dallas,Sgdc,Dallas Sgdc,1593475,6,4,34,39,16,1,2.6%,33,0,3,16,20,11.15,255,222,33
Dallas,Un,Dallas Un,1593476,6,3,27,25,13,0,0.0%,27,0,2,13,15,8.3,166,174,26
Dallas,Urb13,Dallas Urb13,1593477,6,7,65,56,31,6,10.7%,59,1,9,21,36,21.8,367,429,64
Dallas,Urb14,Dallas Urb14,1593478,6,5,57,44,27,4,9.1%,53,0,7,20,31,18.6,287,376,56
Dallas,Urb15,Dallas Urb15,1593479,6,3,36,26,17,4,15.4%,32,1,3,14,21,12,170,240,36
Dallas,Vm,Dallas Vm,946889,6,4,39,39,18,3,7.7%,36,3,6,12,21,13.75,255,254,38
Dallas,Wgg,Dallas Wgg,1593480,6,3,30,34,14,6,17.6%,24,1,2,12,20,13,224,198,30
Dallas,Wk1,Dallas Wk1,946892,6,6,56,56,27,2,3.6%,54,0,7,30,39,21.2,370,373,56
Dallas,Wk2,Dallas Wk2,946893,6,6,58,43,27,15,34.9%,43,2,24,59,98,57.35,284,384,58
Dallas,Wk3,Dallas Wk3,946894,6,7,60,59,28,7,11.9%,53,0,14,47,68,39.75,392,398,60
Dallas,Wk4,Dallas Wk4,946895,6,5,47,39,22,1,2.6%,46,1,18,30,49,29.65,258,313,47
Dallas,Wk5,Dallas Wk5,1593481,6,5,45,43,21,8,18.6%,37,2,19,37,64,39.7,281,296,44
Dallas,Wk6,Dallas Wk6,1593482,6,5,48,39,23,8,20.5%,40,0,5,49,62,35.6,258,317,48
Dallas,Wm221,Dallas Wm221,1593483,6,8,70,74,33,4,5.4%,66,1,5,19,28,15.8,491,465,70
Dallas,Wm222,Dallas Wm222,1593484,6,5,44,48,21,1,2.1%,43,0,9,18,28,17.05,320,292,44
Dallas,Wm223,Dallas Wm223,1593485,6,4,33,32,16,13,40.6%,20,0,12,35,60,38.65,212,216,32
Dallas,Wm224,Dallas Wm224,1593486,6,1,8,11,4,0,0.0%,8,0,1,6,7,3.9,70,49,7
Dallas,Wm225,Dallas Wm225,1593487,6,8,66,46,31,4,8.7%,62,3,5,26,35,19.3,304,434,65
Dallas,Wm226,Dallas Wm226,1593488,6,4,29,29,14,8,27.6%,21,0,7,33,48,28.9,193,188,28
Dallas,Wm321,Dallas Wm321,1593489,6,5,38,58,18,7,12.1%,31,1,2,23,32,19.95,382,251,38
Dallas,Wm322,Dallas Wm322,1593490,6,2,20,26,10,3,11.5%,17,0,0,5,8,4.35,171,133,20
Davis,Bf1,Davis Bf1,946897,4,16,11,26,6,0,0.0%,11,0,0,3,3,1.5,171,73,11
Davis,Bf2,Davis Bf2,946898,4,16,11,24,5,0,0.0%,11,0,0,1,1,0.5,157,70,11
Davis,Bf3,Davis Bf3,946899,4,12,9,17,5,0,0.0%,9,0,4,2,6,3.6,111,60,9
Davis,Cn,Davis Cn,946900,4,16,15,29,7,0,0.0%,15,0,0,2,2,1,191,100,15
Davis,Ne,Davis Ne,946901,4,12,13,22,6,0,0.0%,13,0,1,1,2,1.4,142,85,13
Davis,Nw,Davis Nw,946902,4,11,11,19,5,0,0.0%,11,0,1,3,4,1.9,124,70,11
Davis,Se,Davis Se,946903,4,10,10,16,5,0,0.0%,10,0,0,0,0,0,104,65,10
Davis,Sw,Davis Sw,946904,4,7,6,13,3,0,0.0%,6,0,0,0,0,0,82,36,5
Decatur,Bl,Decatur Bl,948204,2,36,34,33,16,4,12.1%,30,0,1,18,23,13.7,214,223,33
Decatur,Bu,Decatur Bu,946905,2,4,7,5,4,0,0.0%,7,0,0,1,1,0.5,31,46,7
Decatur,De,Decatur De,946907,2,3,3,3,2,0,0.0%,3,0,0,0,0,0,18,20,3
Decatur,Gg,Decatur Gg,946909,2,7,7,6,3,1,16.7%,6,0,0,1,2,1.45,39,41,6
Decatur,Gr,Decatur Gr,946910,2,4,5,5,3,0,0.0%,5,0,0,1,1,0.5,33,30,5
Decatur,Lc,Decatur Lc,946915,2,9,8,8,4,0,0.0%,8,0,3,0,3,2.7,51,52,8
Decatur,Le,Decatur Le,946916,2,22,21,22,10,0,0.0%,21,0,4,2,6,4.6,145,139,21
Delaware,Adhg,Delaware Adhg,1593491,1,7,11,9,5,0,0.0%,11,0,0,1,1,0.5,54,68,10
Delaware,Cl,Delaware Cl,946919,1,5,7,5,3,0,0.0%,7,0,0,0,0,0,31,41,6
Delaware,Dh,Delaware Dh,946920,1,7,12,7,6,0,0.0%,12,0,0,0,0,0,46,80,12
Delaware,Dw,Delaware Dw,1593492,1,6,11,8,5,0,0.0%,11,0,0,2,2,1,51,68,10
Delaware,Hcek,Delaware Hcek,1593493,1,9,15,11,7,1,9.1%,14,1,0,3,4,2.45,70,98,15
Delaware,Mc1,Delaware Mc1,946923,1,12,18,16,9,0,0.0%,18,0,4,2,6,4.6,106,116,17
Delaware,Mc2,Delaware Mc2,946924,1,14,20,20,10,0,0.0%,20,0,4,3,7,5.1,131,130,20
Delaware,Mc3,Delaware Mc3,946925,1,16,20,20,9,2,10.0%,18,0,1,3,6,4.3,129,128,19
Delaware,Mlpr,Delaware Mlpr,1593494,1,12,19,14,9,0,0.0%,19,0,2,5,7,3.8,91,124,19
Delaware,Onnfbm,Delaware Onnfbm,1593495,1,13,26,12,12,1,8.3%,25,0,1,5,7,3.85,77,170,26
Delaware,Rlcg,Delaware Rlcg,1593496,1,9,15,12,7,0,0.0%,15,0,0,5,5,2.5,78,98,15
Delaware,Sfun,Delaware Sfun,1593497,1,10,15,10,7,0,0.0%,15,0,1,6,7,3.9,64,95,14
Des Moines,Bu1t,Des Moines Bu1t,1593498,4,6,48,47,23,1,2.1%,47,1,6,15,22,12.85,307,319,48
Des Moines,Bu2,Des Moines Bu2,1593499,4,7,44,43,21,8,18.6%,36,2,2,14,24,14.9,284,290,44
Des Moines,Bu3,Des Moines Bu3,1593500,4,5,41,32,19,11,34.4%,30,1,16,33,60,40.85,211,269,40
Des Moines,Bu4,Des Moines Bu4,1593501,4,5,37,29,17,4,13.8%,33,1,10,28,42,24.3,188,242,36
Des Moines,Bu5,Des Moines Bu5,1593502,4,5,37,29,18,7,24.1%,30,1,6,16,29,18.05,191,245,37
Des Moines,Bu6,Des Moines Bu6,1593503,4,3,24,12,11,1,8.3%,23,0,0,5,6,3.45,80,157,24
Des Moines,Bu7,Des Moines Bu7,1593504,4,6,45,40,21,14,35.0%,31,0,19,46,79,50.9,264,295,44
Des Moines,Bu8c,Des Moines Bu8c,1593505,4,8,47,59,22,3,5.1%,44,1,7,20,30,18.65,390,310,47
Des Moines,Bu9,Des Moines Bu9,1593506,4,7,43,54,20,8,14.8%,35,0,6,34,48,29,356,284,43
Des Moines,Dm,Des Moines Dm,946943,4,3,21,13,10,1,7.7%,20,0,2,4,7,4.75,86,139,21
Des Moines,Fm,Des Moines Fm,946944,4,5,38,29,18,2,6.9%,36,0,2,13,17,9.7,189,247,37
Des Moines,Hj,Des Moines Hj,946945,4,2,15,11,7,2,18.2%,13,0,0,10,12,6.4,72,96,14
Des Moines,My,Des Moines My,946946,4,4,32,29,15,2,6.9%,30,0,2,10,14,8.2,188,212,32
Des Moines,Pw,Des Moines Pw,946947,4,1,9,7,4,0,0.0%,9,0,0,2,2,1,42,56,8
Des Moines,Union,Des Moines Union,1593507,4,2,10,9,5,0,0.0%,10,0,1,0,1,0.9,55,66,10
Des Moines,Wb,Des Moines Wb,946949,4,6,40,41,19,3,7.3%,37,0,5,14,22,14.35,273,261,39
Dickinson,Pct 01,Dickinson Pct 01,1593508,2,5,14,6,7,2,33.3%,12,1,0,5,7,3.4,39,92,14
Dickinson,Pct 02,Dickinson Pct 02,1593515,2,5,13,14,6,0,0.0%,13,0,0,8,8,4,90,85,13
Dickinson,Pct 03,Dickinson Pct 03,1593516,2,6,12,15,6,0,0.0%,12,0,2,2,4,2.3,96,80,12
Dickinson,Pct 04,Dickinson Pct 04,1593517,2,2,6,6,3,0,0.0%,6,0,1,2,3,1.9,38,34,5
Dickinson,Pct 05,Dickinson Pct 05,1593518,2,7,20,20,10,0,0.0%,20,0,0,2,2,1,132,131,20
Dickinson,Pct 06,Dickinson Pct 06,1593519,2,2,5,6,3,0,0.0%,5,0,0,2,2,1,34,32,5
Dickinson,Pct 07,Dickinson Pct 07,1593520,2,1,3,2,2,0,0.0%,3,0,1,1,2,1.4,11,16,2
Dickinson,Pct 08,Dickinson Pct 08,1593521,2,14,41,26,19,7,26.9%,34,0,7,60,74,41.45,173,269,40
Dickinson,Pct 09,Dickinson Pct 09,1593522,2,1,2,2,1,0,0.0%,2,0,0,0,0,0,10,12,2
Dickinson,Pct 10,Dickinson Pct 10,1593509,2,4,10,14,5,2,14.3%,8,0,1,15,18,9.8,88,66,10
Dickinson,Pct 11,Dickinson Pct 11,1593510,2,6,15,13,7,1,7.7%,14,0,1,7,9,4.35,86,96,14
Dickinson,Pct 12,Dickinson Pct 12,1593511,2,4,11,8,5,1,12.5%,10,0,4,10,15,9.05,49,70,11
Dickinson,Pct 13,Dickinson Pct 13,1593512,2,6,19,16,9,1,6.3%,18,0,3,8,12,7.65,103,121,18
Dickinson,Pct 14,Dickinson Pct 14,1593513,2,4,12,9,6,3,33.3%,9,0,5,11,19,11.85,55,77,12
Dickinson,Pct 15,Dickinson Pct 15,1593514,2,13,38,27,18,9,33.3%,29,0,6,14,29,18.95,175,248,37
Dubuque,1,Dubuque 01,946950,1,10,60,99,28,2,2.0%,58,0,4,10,16,10,654,400,60
Dubuque,2,Dubuque 02,946951,1,12,83,130,39,3,2.3%,80,1,6,32,41,23.25,862,551.68,83
Dubuque,3,Dubuque 03,946952,1,7,34,54,16,0,0.0%,34,0,4,17,21,9.1,357,223,33
Dubuque,4,Dubuque 04,946953,1,12,65,89,31,1,1.1%,64,1,3,27,31,16.65,592,429,64
Dubuque,5,Dubuque 05,946954,1,11,65,102,31,0,0.0%,65,0,2,21,23,11.8,677,433.28,65
Dubuque,6,Dubuque 06,946955,1,9,51,73,24,1,1.4%,50,0,4,16,21,12.05,483,334,50
Dubuque,7,Dubuque 07,946956,1,12,79,123,37,1,0.8%,78,1,7,22,30,16.75,819,524.16,79
Dubuque,8,Dubuque 08,946957,1,7,40,63,19,0,0.0%,40,0,3,11,14,8.2,416,266.24,40
Dubuque,09a,Dubuque 09a,1593531,1,8,47,50,22,3,6.0%,44,3,6,11,20,13.75,333,310,47
Dubuque,10,Dubuque 10,946959,1,11,56,90,27,1,1.1%,55,0,15,35,51,28.45,597,373,56
Dubuque,11,Dubuque 11,946960,1,8,42,55,20,5,9.1%,37,0,4,17,26,15.35,366,276,41
Dubuque,12,Dubuque 12,946961,1,10,55,85,26,1,1.2%,54,1,7,20,28,16.25,565,361.6,54
Dubuque,13,Dubuque 13,946962,1,7,38,42,18,7,16.7%,31,0,5,26,38,23.15,277,253,38
Dubuque,14,Dubuque 14,946963,1,6,33,29,16,1,3.4%,32,1,2,11,14,7.75,193,217,33
Dubuque,15,Dubuque 15,946964,1,8,44,58,21,5,8.6%,39,0,3,13,21,12.45,385,292,44
Dubuque,16,Dubuque 16,946965,1,5,32,31,15,3,9.7%,29,0,2,11,16,9.15,201,207,31
Dubuque,17,Dubuque 17,946966,1,5,29,30,14,1,3.3%,28,1,3,16,20,10.15,194,190,29
Dubuque,18,Dubuque 18,946967,1,7,46,62,22,4,6.5%,42,2,15,30,49,30.3,408,302,45
Dubuque,19,Dubuque 19,946968,1,10,63,98,30,6,6.1%,57,1,8,29,43,23.9,648,414.72,62
Dubuque,20,Dubuque 20,946969,1,11,79,123,37,3,2.4%,76,2,6,26,35,19.75,819,524.16,79
Dubuque,31,Dubuque 31,946971,1,11,57,82,27,0,0.0%,57,0,6,13,19,11.9,540,378,57
Dubuque,32,Dubuque 32,946972,1,10,55,78,26,1,1.3%,54,0,4,16,21,12.05,519,362,54
Dubuque,33,Dubuque 33,946973,1,7,32,39,15,2,5.1%,30,1,3,5,10,6.6,258,208,31
Dubuque,34,Dubuque 34,946974,1,10,51,81,24,0,0.0%,51,0,7,12,19,12.3,535,336,50
Dubuque,35,Dubuque 35,946975,1,4,26,42,13,0,0.0%,26,0,3,11,14,7.2,279,173,26
Dubuque,36,Dubuque 36,946976,1,7,43,44,21,0,0.0%,43,0,2,15,17,8.8,289,286,43
Dubuque,37,Dubuque 37,946977,1,3,14,16,7,0,0.0%,14,0,0,4,4,2,103,89,13
Dubuque,38,Dubuque 38,946978,1,3,14,16,7,0,0.0%,14,0,0,3,3,1.5,106,92,14
